index,gender,age,student_since,nationality,school_education,attended_university,year,month,semester
105,male,49,2015-10-18,Afghanistan,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
83,male,27,2015-10-18,Nigeria,,UNKNOWN,2015,10,2H
112,male,45,2015-10-18,Pakistan,,UNKNOWN,2015,10,2H
115,male,34,2015-10-18,Syria,,UNKNOWN,2015,10,2H
55,male,36,2015-10-18,Libya,,UNKNOWN,2015,10,2H
92,female,22,2015-10-19,Iraq,,UNKNOWN,2015,10,2H
94,male,26,2015-10-19,Syria,,UNKNOWN,2015,10,2H
116,male,27,2015-10-19,Syria,Upper secondary education (11-13 school years),TRUE,2015,10,2H
77,female,24,2015-10-19,Azerbaijan,,UNKNOWN,2015,10,2H
48,male,30,2015-10-19,Somalia,Lower secondary education (7-11 school years),UNKNOWN,2015,10,2H
49,male,33,2015-10-19,Afghanistan,Upper secondary education (11-13 school years),FALSE,2015,10,2H
67,male,31,2015-10-19,Pakistan,,UNKNOWN,2015,10,2H
96,male,26,2015-10-19,Syria,,TRUE,2015,10,2H
97,male,30,2015-10-19,Syria,,UNKNOWN,2015,10,2H
59,male,31,2015-10-19,Nigeria,,UNKNOWN,2015,10,2H
74,male,39,2015-10-20,Syria,,UNKNOWN,2015,10,2H
17,male,43,2015-10-20,Syria,,UNKNOWN,2015,10,2H
98,male,24,2015-10-20,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
104,male,36,2015-10-20,Syria,Upper secondary education (11-13 school years),FALSE,2015,10,2H
93,male,31,2015-10-21,Afghanistan,,UNKNOWN,2015,10,2H
110,male,29,2015-10-21,Afghanistan,Upper secondary education (11-13 school years),TRUE,2015,10,2H
113,male,30,2015-10-21,Syria,,UNKNOWN,2015,10,2H
58,male,26,2015-10-21,Pakistan,,UNKNOWN,2015,10,2H
34,male,26,2015-10-21,Syria,,TRUE,2015,10,2H
102,female,24,2015-10-22,Eritrea,Upper secondary education (11-13 school years),FALSE,2015,10,2H
4,male,34,2015-10-22,Kenya,,UNKNOWN,2015,10,2H
91,male,28,2015-10-22,Guinea,,UNKNOWN,2015,10,2H
65,male,27,2015-10-23,Syria,,UNKNOWN,2015,10,2H
41,female,22,2015-10-23,Palestine,,UNKNOWN,2015,10,2H
111,male,31,2015-10-23,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
42,male,33,2015-10-24,Ethiopia,,UNKNOWN,2015,10,2H
85,male,28,2015-10-25,Afghanistan,Upper secondary education (11-13 school years),FALSE,2015,10,2H
45,male,24,2015-10-27,Pakistan,,UNKNOWN,2015,10,2H
88,male,32,2015-10-27,Ethiopia,Upper secondary education (11-13 school years),TRUE,2015,10,2H
60,male,26,2015-10-27,Somalia,,UNKNOWN,2015,10,2H
51,male,26,2015-10-28,Egypt,,TRUE,2015,10,2H
99,male,33,2015-10-28,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
57,male,22,2015-10-30,Eritrea,Lower secondary education (7-11 school years),UNKNOWN,2015,10,2H
47,male,37,2015-11-01,Syria,,UNKNOWN,2015,11,2H
103,male,49,2015-11-06,Syria,,UNKNOWN,2015,11,2H
10,male,21,2015-11-06,Syria,Upper secondary education (11-13 school years),TRUE,2015,11,2H
81,male,29,2015-11-07,Syria,Upper secondary education (11-13 school years),TRUE,2015,11,2H
26,female,32,2015-11-07,Syria,,UNKNOWN,2015,11,2H
52,male,28,2015-11-10,Syria,,UNKNOWN,2015,11,2H
44,male,35,2015-11-11,Pakistan,Upper secondary education (11-13 school years),TRUE,2015,11,2H
21,male,23,2015-11-12,Gambia,,UNKNOWN,2015,11,2H
1,male,43,2015-11-12,Nigeria,,UNKNOWN,2015,11,2H
61,male,36,2015-11-19,Ethiopia,,UNKNOWN,2015,11,2H
128,male,30,2015-11-21,Sudan,Upper secondary education (11-13 school years),TRUE,2015,11,2H
117,female,28,2015-11-21,United Arab Emirates,,UNKNOWN,2015,11,2H
147,male,28,2015-11-21,Bangladesh,Upper secondary education (11-13 school years),UNKNOWN,2015,11,2H
139,male,32,2015-11-21,Somalia,,UNKNOWN,2015,11,2H
126,male,22,2015-11-22,Syria,,UNKNOWN,2015,11,2H
125,male,39,2015-11-22,Dem. Rep. Congo,Upper secondary education (11-13 school years),UNKNOWN,2015,11,2H
129,male,34,2015-11-22,Egypt,,UNKNOWN,2015,11,2H
145,male,56,2015-11-22,Ethiopia,Upper secondary education (11-13 school years),TRUE,2015,11,2H
138,male,34,2015-11-22,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,11,2H
149,male,31,2015-11-23,Yemen,Upper secondary education (11-13 school years),TRUE,2015,11,2H
123,male,33,2015-11-23,Dem. Rep. Congo,,UNKNOWN,2015,11,2H
150,female,32,2015-11-24,Syria,,UNKNOWN,2015,11,2H
148,male,41,2015-11-24,Germany,,UNKNOWN,2015,11,2H
130,female,39,2015-11-24,Uganda,Upper secondary education (11-13 school years),TRUE,2015,11,2H
144,male,34,2015-11-25,Somalia,,UNKNOWN,2015,11,2H
137,male,32,2015-11-25,Iraq,,UNKNOWN,2015,11,2H
118,male,26,2015-11-26,Syria,,UNKNOWN,2015,11,2H
133,male,34,2015-11-26,Syria,,UNKNOWN,2015,11,2H
132,male,30,2015-11-27,Somalia,,UNKNOWN,2015,11,2H
135,female,34,2015-11-29,Syria,,TRUE,2015,11,2H
140,male,31,2015-11-30,Germany,,UNKNOWN,2015,11,2H
119,male,24,2015-11-30,Syria,,UNKNOWN,2015,11,2H
151,male,22,2015-12-03,Syria,Upper secondary education (11-13 school years),TRUE,2015,12,2H
141,male,36,2015-12-07,Syria,Upper secondary education (11-13 school years),TRUE,2015,12,2H
143,male,29,2015-12-15,Ethiopia,,UNKNOWN,2015,12,2H
131,male,25,2015-12-28,Netherlands,,UNKNOWN,2015,12,2H
3,male,26,2016-01-13,Iran,Upper secondary education (11-13 school years),UNKNOWN,2016,1,1H
54,male,30,2016-01-15,Somalia,,UNKNOWN,2016,1,1H
146,male,29,2016-01-31,Somalia,Upper secondary education (11-13 school years),TRUE,2016,1,1H
153,male,31,2016-02-01,Syria,,UNKNOWN,2016,2,1H
56,male,26,2016-02-04,Afghanistan,Upper secondary education (11-13 school years),TRUE,2016,2,1H
203,male,33,2016-03-16,Syria,,UNKNOWN,2016,3,1H
250,male,86,2016-03-16,Ghana,,TRUE,2016,3,1H
195,male,35,2016-03-16,Syria,,TRUE,2016,3,1H
204,male,33,2016-03-16,Pakistan,,UNKNOWN,2016,3,1H
192,male,35,2016-03-16,Pakistan,Upper secondary education (11-13 school years),TRUE,2016,3,1H
206,male,36,2016-03-16,Iran,,UNKNOWN,2016,3,1H
187,male,36,2016-03-16,Pakistan,,UNKNOWN,2016,3,1H
208,male,29,2016-03-16,Somalia,,UNKNOWN,2016,3,1H
210,male,31,2016-03-16,Eritrea,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
212,male,24,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
185,male,25,2016-03-16,Pakistan,,UNKNOWN,2016,3,1H
213,male,29,2016-03-16,Nigeria,,UNKNOWN,2016,3,1H
219,male,34,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
220,female,33,2016-03-16,Egypt,Upper secondary education (11-13 school years),TRUE,2016,3,1H
221,male,37,2016-03-16,Nigeria,,UNKNOWN,2016,3,1H
222,male,37,2016-03-16,Bangladesh,,UNKNOWN,2016,3,1H
224,male,40,2016-03-16,China,,UNKNOWN,2016,3,1H
201,male,36,2016-03-16,Haiti,,UNKNOWN,2016,3,1H
231,male,31,2016-03-16,Ukraine,,UNKNOWN,2016,3,1H
234,male,29,2016-03-16,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
241,female,23,2016-03-16,Iraq,Upper secondary education (11-13 school years),FALSE,2016,3,1H
243,male,23,2016-03-16,Syria,,UNKNOWN,2016,3,1H
246,male,34,2016-03-16,Afghanistan,Upper secondary education (11-13 school years),FALSE,2016,3,1H
256,male,30,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
226,male,22,2016-03-16,Eritrea,,UNKNOWN,2016,3,1H
286,male,33,2016-03-16,Iran,Upper secondary education (11-13 school years),TRUE,2016,3,1H
258,male,23,2016-03-16,Palestine,,UNKNOWN,2016,3,1H
356,female,36,2016-03-16,Uganda,Upper secondary education (11-13 school years),FALSE,2016,3,1H
338,female,28,2016-03-16,Bangladesh,,UNKNOWN,2016,3,1H
335,male,22,2016-03-16,Afghanistan,Upper secondary education (11-13 school years),FALSE,2016,3,1H
334,male,30,2016-03-16,Senegal,,UNKNOWN,2016,3,1H
333,male,33,2016-03-16,Syria,,UNKNOWN,2016,3,1H
332,female,31,2016-03-16,Zimbabwe,,UNKNOWN,2016,3,1H
330,male,27,2016-03-16,Iran,,UNKNOWN,2016,3,1H
321,female,28,2016-03-16,Syria,,TRUE,2016,3,1H
320,male,27,2016-03-16,Iraq,Upper secondary education (11-13 school years),TRUE,2016,3,1H
318,female,22,2016-03-16,Pakistan,,TRUE,2016,3,1H
317,male,53,2016-03-16,Syria,,UNKNOWN,2016,3,1H
316,male,30,2016-03-16,Uganda,,UNKNOWN,2016,3,1H
314,male,26,2016-03-16,Egypt,,UNKNOWN,2016,3,1H
312,female,26,2016-03-16,Nigeria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
307,male,36,2016-03-16,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
303,male,28,2016-03-16,Syria,,UNKNOWN,2016,3,1H
298,male,29,2016-03-16,Bangladesh,,UNKNOWN,2016,3,1H
260,male,25,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
262,male,30,2016-03-16,Colombia,Upper secondary education (11-13 school years),TRUE,2016,3,1H
267,female,26,2016-03-16,Syria,Primary education (4-7 school years),UNKNOWN,2016,3,1H
268,male,28,2016-03-16,Palestine,,UNKNOWN,2016,3,1H
270,male,33,2016-03-16,Syria,,UNKNOWN,2016,3,1H
273,male,35,2016-03-16,Syria,,UNKNOWN,2016,3,1H
257,male,31,2016-03-16,Egypt,,UNKNOWN,2016,3,1H
277,male,29,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
280,male,24,2016-03-16,Syria,,UNKNOWN,2016,3,1H
281,female,24,2016-03-16,Syria,,UNKNOWN,2016,3,1H
283,male,27,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
284,male,41,2016-03-16,Syria,,UNKNOWN,2016,3,1H
183,male,31,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
297,male,33,2016-03-16,Cameroon,I did not go to school,TRUE,2016,3,1H
278,male,32,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
182,male,24,2016-03-16,Pakistan,,UNKNOWN,2016,3,1H
357,male,37,2016-03-16,Afghanistan,,UNKNOWN,2016,3,1H
168,male,38,2016-03-16,Somalia,,UNKNOWN,2016,3,1H
180,male,35,2016-03-16,Nigeria,Upper secondary education (11-13 school years),FALSE,2016,3,1H
30,male,35,2016-03-16,Sudan,,TRUE,2016,3,1H
177,male,30,2016-03-16,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
172,male,28,2016-03-16,Syria,,UNKNOWN,2016,3,1H
173,male,37,2016-03-16,Gambia,,UNKNOWN,2016,3,1H
349,male,31,2016-03-17,Afghanistan,,UNKNOWN,2016,3,1H
211,male,25,2016-03-17,Afghanistan,,UNKNOWN,2016,3,1H
322,male,31,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
315,male,30,2016-03-17,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
313,male,27,2016-03-17,Iran,,UNKNOWN,2016,3,1H
304,male,51,2016-03-17,Syria,,UNKNOWN,2016,3,1H
223,female,22,2016-03-17,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
227,male,22,2016-03-17,Afghanistan,,UNKNOWN,2016,3,1H
229,male,31,2016-03-17,Nigeria,,UNKNOWN,2016,3,1H
296,male,25,2016-03-17,Somalia,,UNKNOWN,2016,3,1H
232,male,37,2016-03-17,Egypt,,UNKNOWN,2016,3,1H
293,male,30,2016-03-17,Nigeria,Upper secondary education (11-13 school years),FALSE,2016,3,1H
275,male,28,2016-03-17,Syria,,UNKNOWN,2016,3,1H
271,female,23,2016-03-17,Syria,,UNKNOWN,2016,3,1H
124,male,29,2016-03-17,Syria,,UNKNOWN,2016,3,1H
248,female,41,2016-03-17,Eritrea,,UNKNOWN,2016,3,1H
249,male,25,2016-03-17,Yemen,,UNKNOWN,2016,3,1H
251,male,29,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
252,female,26,2016-03-17,Rwanda,Upper secondary education (11-13 school years),FALSE,2016,3,1H
327,male,26,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
328,male,28,2016-03-17,Syria,,UNKNOWN,2016,3,1H
142,male,47,2016-03-17,Bangladesh,Upper secondary education (11-13 school years),TRUE,2016,3,1H
202,male,39,2016-03-17,Afghanistan,,UNKNOWN,2016,3,1H
186,male,30,2016-03-17,Nepal,,UNKNOWN,2016,3,1H
188,male,33,2016-03-17,Syria,,UNKNOWN,2016,3,1H
347,female,22,2016-03-17,Eritrea,,UNKNOWN,2016,3,1H
196,male,24,2016-03-17,Syria,,UNKNOWN,2016,3,1H
170,male,31,2016-03-18,Somalia,,UNKNOWN,2016,3,1H
179,male,42,2016-03-18,Afghanistan,,UNKNOWN,2016,3,1H
353,male,31,2016-03-18,Afghanistan,Lower secondary education (7-11 school years),UNKNOWN,2016,3,1H
265,male,30,2016-03-18,Syria,,UNKNOWN,2016,3,1H
350,female,30,2016-03-18,Syria,,UNKNOWN,2016,3,1H
190,male,41,2016-03-18,Nigeria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
282,female,27,2016-03-18,Syria,,UNKNOWN,2016,3,1H
238,male,26,2016-03-18,Dem. Rep. Congo,,TRUE,2016,3,1H
344,male,33,2016-03-18,Bangladesh,Upper secondary education (11-13 school years),TRUE,2016,3,1H
300,male,29,2016-03-18,Afghanistan,,UNKNOWN,2016,3,1H
225,male,24,2016-03-18,Germany,,UNKNOWN,2016,3,1H
348,male,26,2016-03-18,Afghanistan,,UNKNOWN,2016,3,1H
197,male,32,2016-03-18,Côte d'Ivoire,,UNKNOWN,2016,3,1H
323,male,22,2016-03-18,Sri Lanka,,UNKNOWN,2016,3,1H
336,male,29,2016-03-18,Afghanistan,Upper secondary education (11-13 school years),TRUE,2016,3,1H
340,male,39,2016-03-18,Afghanistan,,UNKNOWN,2016,3,1H
301,male,27,2016-03-18,Syria,,UNKNOWN,2016,3,1H
274,male,22,2016-03-19,Afghanistan,,UNKNOWN,2016,3,1H
311,male,30,2016-03-19,Palestine,,UNKNOWN,2016,3,1H
239,female,26,2016-03-19,Syria,,UNKNOWN,2016,3,1H
237,male,33,2016-03-19,Ghana,,UNKNOWN,2016,3,1H
287,male,32,2016-03-19,Syria,,UNKNOWN,2016,3,1H
240,female,31,2016-03-19,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
291,male,42,2016-03-19,Palestine,,UNKNOWN,2016,3,1H
289,male,25,2016-03-19,Somalia,Upper secondary education (11-13 school years),TRUE,2016,3,1H
193,male,39,2016-03-19,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
310,male,32,2016-03-19,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
329,male,25,2016-03-19,Afghanistan,Upper secondary education (11-13 school years),FALSE,2016,3,1H
254,male,32,2016-03-20,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
191,female,22,2016-03-20,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
230,male,34,2016-03-20,Syria,,UNKNOWN,2016,3,1H
306,male,24,2016-03-20,Syria,,UNKNOWN,2016,3,1H
308,male,40,2016-03-20,Syria,,UNKNOWN,2016,3,1H
263,male,31,2016-03-20,Syria,,UNKNOWN,2016,3,1H
261,male,30,2016-03-20,Nigeria,,UNKNOWN,2016,3,1H
205,male,30,2016-03-20,Syria,,UNKNOWN,2016,3,1H
228,male,44,2016-03-20,Pakistan,,UNKNOWN,2016,3,1H
337,male,29,2016-03-21,Syria,,UNKNOWN,2016,3,1H
305,male,41,2016-03-21,Yemen,Upper secondary education (11-13 school years),FALSE,2016,3,1H
326,male,37,2016-03-21,Nigeria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
358,male,49,2016-03-21,Iran,,UNKNOWN,2016,3,1H
259,male,38,2016-03-21,Ethiopia,,UNKNOWN,2016,3,1H
181,male,43,2016-03-21,Syria,,UNKNOWN,2016,3,1H
155,male,26,2016-03-21,Afghanistan,,UNKNOWN,2016,3,1H
233,male,31,2016-03-21,Palestine,,UNKNOWN,2016,3,1H
159,female,26,2016-03-21,Syria,,UNKNOWN,2016,3,1H
163,male,29,2016-03-21,Pakistan,,UNKNOWN,2016,3,1H
161,male,22,2016-03-21,Somalia,,UNKNOWN,2016,3,1H
235,male,23,2016-03-21,Afghanistan,,UNKNOWN,2016,3,1H
189,male,28,2016-03-21,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
198,male,36,2016-03-22,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
162,male,30,2016-03-22,Gambia,Upper secondary education (11-13 school years),FALSE,2016,3,1H
194,male,25,2016-03-22,Somalia,,UNKNOWN,2016,3,1H
200,male,33,2016-03-22,Afghanistan,Upper secondary education (11-13 school years),FALSE,2016,3,1H
160,male,34,2016-03-22,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
154,male,33,2016-03-22,Liberia,,UNKNOWN,2016,3,1H
264,male,33,2016-03-22,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
319,male,29,2016-03-23,Afghanistan,,UNKNOWN,2016,3,1H
171,female,33,2016-03-23,Dem. Rep. Congo,Upper secondary education (11-13 school years),TRUE,2016,3,1H
288,male,26,2016-03-23,Syria,,UNKNOWN,2016,3,1H
339,male,31,2016-03-23,Bangladesh,,UNKNOWN,2016,3,1H
158,female,26,2016-03-23,Afghanistan,I did not go to school,FALSE,2016,3,1H
342,male,36,2016-03-23,Bangladesh,,UNKNOWN,2016,3,1H
343,male,36,2016-03-23,Bangladesh,,UNKNOWN,2016,3,1H
174,male,36,2016-03-23,Kenya,Upper secondary education (11-13 school years),TRUE,2016,3,1H
351,male,27,2016-03-23,Afghanistan,,UNKNOWN,2016,3,1H
199,male,33,2016-03-23,Syria,,UNKNOWN,2016,3,1H
331,male,41,2016-03-24,Syria,,TRUE,2016,3,1H
178,male,30,2016-03-24,Syria,,UNKNOWN,2016,3,1H
175,male,31,2016-03-24,Burundi,Upper secondary education (11-13 school years),TRUE,2016,3,1H
244,female,22,2016-03-25,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
207,male,34,2016-03-25,Afghanistan,Upper secondary education (11-13 school years),TRUE,2016,3,1H
167,male,39,2016-03-25,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
157,male,27,2016-03-25,Syria,,UNKNOWN,2016,3,1H
176,male,30,2016-03-25,Syria,,UNKNOWN,2016,3,1H
352,male,30,2016-03-26,Syria,,UNKNOWN,2016,3,1H
355,male,23,2016-03-26,Syria,,UNKNOWN,2016,3,1H
255,male,40,2016-03-26,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
156,male,30,2016-03-27,Syria,,UNKNOWN,2016,3,1H
272,male,30,2016-03-27,Syria,,UNKNOWN,2016,3,1H
302,male,25,2016-03-27,Afghanistan,,UNKNOWN,2016,3,1H
165,male,27,2016-03-28,Syria,,UNKNOWN,2016,3,1H
253,male,32,2016-03-28,Ethiopia,,UNKNOWN,2016,3,1H
279,male,32,2016-03-29,Kenya,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
294,male,37,2016-03-29,Syria,,UNKNOWN,2016,3,1H
309,male,29,2016-03-30,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,3,1H
69,male,26,2016-03-30,Syria,,UNKNOWN,2016,3,1H
269,male,25,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
215,male,37,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
5,male,29,2016-03-31,Syria,,UNKNOWN,2016,3,1H
285,female,32,2016-03-31,Syria,,UNKNOWN,2016,3,1H
242,male,41,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE,2016,3,1H
166,male,30,2016-04-01,Germany,,UNKNOWN,2016,4,1H
266,male,46,2016-04-02,Syria,,UNKNOWN,2016,4,1H
75,male,26,2016-04-02,Iraq,,TRUE,2016,4,1H
86,female,34,2016-04-03,Syria,,UNKNOWN,2016,4,1H
218,male,26,2016-04-03,Lebanon,,UNKNOWN,2016,4,1H
164,male,22,2016-04-04,Palestine,,UNKNOWN,2016,4,1H
106,male,29,2016-04-05,Sudan,,UNKNOWN,2016,4,1H
290,male,42,2016-04-05,Syria,Upper secondary education (11-13 school years),TRUE,2016,4,1H
216,female,26,2016-04-06,Syria,,UNKNOWN,2016,4,1H
169,female,40,2016-04-08,Pakistan,,UNKNOWN,2016,4,1H
236,male,23,2016-04-08,Syria,,UNKNOWN,2016,4,1H
292,female,28,2016-04-11,Pakistan,Upper secondary education (11-13 school years),TRUE,2016,4,1H
345,male,23,2016-04-12,Afghanistan,,UNKNOWN,2016,4,1H
136,male,56,2016-04-12,Venezuela,Upper secondary education (11-13 school years),TRUE,2016,4,1H
120,male,28,2016-04-12,Sudan,,UNKNOWN,2016,4,1H
324,male,41,2016-04-12,Syria,,UNKNOWN,2016,4,1H
295,female,31,2016-04-13,Jordan,Upper secondary education (11-13 school years),TRUE,2016,4,1H
107,male,29,2016-04-14,Germany,,UNKNOWN,2016,4,1H
89,male,41,2016-04-16,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,4,1H
214,male,34,2016-04-17,Zimbabwe,,UNKNOWN,2016,4,1H
217,male,28,2016-04-18,Syria,Upper secondary education (11-13 school years),UNKNOWN,2016,4,1H
276,male,33,2016-04-18,Afghanistan,Upper secondary education (11-13 school years),FALSE,2016,4,1H
325,male,29,2016-04-20,Syria,,UNKNOWN,2016,4,1H
184,male,36,2016-04-20,Syria,,UNKNOWN,2016,4,1H
299,male,28,2016-04-20,Syria,Upper secondary education (11-13 school years),TRUE,2016,4,1H
247,male,32,2016-04-20,Somalia,,UNKNOWN,2016,4,1H
341,female,31,2016-04-21,Afghanistan,,UNKNOWN,2016,4,1H
11,male,27,2016-04-22,Syria,,UNKNOWN,2016,4,1H
15,male,32,2016-04-22,Syria,,UNKNOWN,2016,4,1H
346,female,24,2016-04-22,Syria,,UNKNOWN,2016,4,1H
354,male,23,2016-04-26,Syria,,UNKNOWN,2016,4,1H
245,female,30,2016-04-30,Syria,,UNKNOWN,2016,4,1H
209,male,32,2016-05-06,Albania,,UNKNOWN,2016,5,1H
90,male,27,2016-06-29,Egypt,Upper secondary education (11-13 school years),FALSE,2016,6,1H
405,male,30,2016-07-02,Iraq,Primary education (4-7 school years),UNKNOWN,2016,7,2H
462,male,58,2016-07-02,Iraq,,UNKNOWN,2016,7,2H
411,male,25,2016-07-02,Afghanistan,,UNKNOWN,2016,7,2H
554,male,25,2016-07-02,Syria,,UNKNOWN,2016,7,2H
407,male,26,2016-07-02,Georgia,Upper secondary education (11-13 school years),TRUE,2016,7,2H
427,male,32,2016-07-02,Iraq,,UNKNOWN,2016,7,2H
398,male,18,2016-07-02,Yemen,,UNKNOWN,2016,7,2H
400,male,43,2016-07-02,Palestine,,UNKNOWN,2016,7,2H
552,male,31,2016-07-02,Syria,Upper secondary education (11-13 school years),FALSE,2016,7,2H
396,male,49,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE,2016,7,2H
395,male,28,2016-07-02,Uganda,,UNKNOWN,2016,7,2H
469,male,23,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE,2016,7,2H
551,male,25,2016-07-02,Syria,Primary education (4-7 school years),UNKNOWN,2016,7,2H
471,male,28,2016-07-02,Germany,Upper secondary education (11-13 school years),TRUE,2016,7,2H
476,female,39,2016-07-02,Iran,,UNKNOWN,2016,7,2H
479,male,32,2016-07-02,Syria,,UNKNOWN,2016,7,2H
386,male,37,2016-07-02,Yemen,,UNKNOWN,2016,7,2H
606,male,39,2016-07-02,Sudan,,UNKNOWN,2016,7,2H
