gender,age,student_since,nationality,school_education,attended_university	
male,23,10/17/2015,Cameroon,,	
male,35,10/18/2015,Syrian Arab Republic,,	
male,29,10/21/2015,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,31,10/23/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,45,10/18/2015,Pakistan,,	
male,30,10/21/2015,Syrian Arab Republic,,	
male,31,10/18/2015,Syrian Arab Republic,,	
male,34,10/18/2015,Syrian Arab Republic,,	
male,27,10/19/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,28,11/21/2015,United Arab Emirates,,	
male,26,11/26/2015,Syrian Arab Republic,,	
male,24,11/30/2015,Syrian Arab Republic,,	
male,28,4/12/2016,Sudan,,	
male,38,11/1/2017,Syrian Arab Republic,,	
male,27,6/4/2019,Syrian Arab Republic,,TRUE	
male,33,11/23/2015,Congo (Democratic Republic of the),,	
male,29,3/17/2016,Syrian Arab Republic,,	
male,39,11/22/2015,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),	
male,22,11/22/2015,Syrian Arab Republic,,	
male,29,11/12/2016,Afghanistan,,	
male,30,11/21/2015,Sudan,Upper secondary education (11-13 school years),TRUE	
male,34,11/22/2015,Egypt,,	
female,39,11/24/2015,Uganda,Upper secondary education (11-13 school years),TRUE	
male,25,12/28/2015,Netherlands,,	
male,30,11/27/2015,Somalia,,	
male,34,11/26/2015,Syrian Arab Republic,,	
male,27,8/7/2016,"Palestine, State of",,
female,34,11/29/2015,Syrian Arab Republic,,TRUE	
male,56,4/12/2016,Venezuela (Bolivarian Republic of),Upper secondary education (11-13 school years),TRUE	
male,32,11/25/2015,Iraq,,	
male,34,11/22/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,32,11/21/2015,Somalia,,	
male,31,11/30/2015,Germany,,	
male,36,12/7/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,47,3/17/2016,Bangladesh,Upper secondary education (11-13 school years),TRUE	
male,29,12/15/2015,Ethiopia,,	
male,34,11/25/2015,Somalia,,	
male,56,11/22/2015,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,29,1/31/2016,Somalia,Upper secondary education (11-13 school years),TRUE	
male,28,11/21/2015,Bangladesh,Upper secondary education (11-13 school years),	
male,41,11/24/2015,Germany,,	
male,31,11/23/2015,Yemen,Upper secondary education (11-13 school years),TRUE	
female,32,11/24/2015,Syrian Arab Republic,,	
male,22,12/3/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,37,11/22/2016,Afghanistan,,	
male,31,2/1/2016,Syrian Arab Republic,,	
male,33,3/22/2016,Liberia,,	
male,26,3/21/2016,Afghanistan,,	
male,30,3/27/2016,Syrian Arab Republic,,	
male,27,3/25/2016,Syrian Arab Republic,,	
female,26,3/23/2016,Afghanistan,I did not go to school,FALSE	
female,26,3/21/2016,Syrian Arab Republic,,	
male,34,3/22/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,3/21/2016,Somalia,,	
male,30,3/22/2016,Gambia,Upper secondary education (11-13 school years),FALSE	
male,29,3/21/2016,Pakistan,,	
male,22,4/4/2016,"Palestine, State of",,
male,27,3/28/2016,Syrian Arab Republic,,	
male,30,4/1/2016,Germany,,	
male,39,3/25/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,38,3/16/2016,Somalia,,	
female,40,4/8/2016,Pakistan,,	
male,31,3/18/2016,Somalia,,	
female,33,3/23/2016,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,28,3/16/2016,Syrian Arab Republic,,	
male,37,3/16/2016,Gambia,,	
male,36,3/23/2016,Kenya,Upper secondary education (11-13 school years),TRUE	
male,31,3/24/2016,Burundi,Upper secondary education (11-13 school years),TRUE	
male,30,3/25/2016,Syrian Arab Republic,,	
male,30,3/16/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,30,3/24/2016,Syrian Arab Republic,,	
male,42,3/18/2016,Afghanistan,,	
male,35,3/16/2016,Nigeria,Upper secondary education (11-13 school years),FALSE	
male,43,3/21/2016,Syrian Arab Republic,,	
male,24,3/16/2016,Pakistan,,	
male,31,3/16/2016,Afghanistan,,	
male,36,4/20/2016,Syrian Arab Republic,,	
male,25,3/16/2016,Pakistan,,	
male,30,3/17/2016,Nepal,,	
male,36,3/16/2016,Pakistan,,	
male,33,3/17/2016,Syrian Arab Republic,,	
male,28,3/21/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,41,3/18/2016,Nigeria,Upper secondary education (11-13 school years),TRUE	
female,22,3/20/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,35,3/16/2016,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,39,3/19/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,25,3/22/2016,Somalia,,	
male,35,3/16/2016,Syrian Arab Republic,,TRUE	
male,24,3/17/2016,Syrian Arab Republic,,	
male,32,3/18/2016,Côte d'Ivoire,,	
male,36,3/22/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,33,3/23/2016,Syrian Arab Republic,,	
male,33,3/22/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,36,3/16/2016,Haiti,,	
male,39,3/17/2016,Afghanistan,,	
male,33,3/16/2016,Syrian Arab Republic,,	
male,33,3/16/2016,Pakistan,,	
male,30,3/20/2016,Syrian Arab Republic,,	
male,36,3/16/2016,Iran (Islamic Republic of),,	
male,34,3/25/2016,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,29,3/16/2016,Somalia,,	
male,32,5/6/2016,Albania,,	
male,31,3/16/2016,Eritrea,Upper secondary education (11-13 school years),	
male,25,3/17/2016,Afghanistan,,	
male,24,3/16/2016,Afghanistan,,	
male,29,3/16/2016,Nigeria,,	
male,34,4/17/2016,Zimbabwe,,	
male,37,3/31/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,26,4/6/2016,Syrian Arab Republic,,	
male,28,4/18/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,26,4/3/2016,Lebanon,,	
male,34,3/16/2016,Afghanistan,,	
female,33,3/16/2016,Egypt,Upper secondary education (11-13 school years),TRUE	
male,37,3/16/2016,Nigeria,,	
male,37,3/16/2016,Bangladesh,,	
female,22,3/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,40,3/16/2016,China,,	
male,24,3/18/2016,Germany,,	
male,22,3/16/2016,Eritrea,,	
male,22,3/17/2016,Afghanistan,,	
male,44,3/20/2016,Pakistan,,	
male,31,3/17/2016,Nigeria,,	
male,34,3/20/2016,Syrian Arab Republic,,	
male,31,3/16/2016,Ukraine,,	
male,37,3/17/2016,Egypt,,	
male,31,3/21/2016,"Palestine, State of",,
male,29,3/16/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,23,3/21/2016,Afghanistan,,	
male,23,4/8/2016,Syrian Arab Republic,,	
male,33,3/19/2016,Ghana,,	
male,26,3/18/2016,Congo (Democratic Republic of the),,TRUE	
female,26,3/19/2016,Syrian Arab Republic,,	
female,31,3/19/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
female,23,3/16/2016,Iraq,Upper secondary education (11-13 school years),FALSE	
male,41,3/31/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,23,3/16/2016,Syrian Arab Republic,,	
female,22,3/25/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
female,30,4/30/2016,Syrian Arab Republic,,	
male,34,3/16/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,32,4/20/2016,Somalia,,	
female,41,3/17/2016,Eritrea,,	
male,25,3/17/2016,Yemen,,	
male,86,3/16/2016,Ghana,,TRUE	
male,29,3/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,26,3/17/2016,Rwanda,Upper secondary education (11-13 school years),FALSE	
male,32,3/28/2016,Ethiopia,,	
male,32,3/20/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,40,3/26/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,30,3/16/2016,Afghanistan,,	
male,31,3/16/2016,Egypt,,	
male,23,3/16/2016,"Palestine, State of",,
male,38,3/21/2016,Ethiopia,,	
male,25,3/16/2016,Afghanistan,,	
male,30,3/20/2016,Nigeria,,	
male,30,3/16/2016,Colombia,Upper secondary education (11-13 school years),TRUE	
male,31,3/20/2016,Syrian Arab Republic,,	
male,33,3/22/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,30,3/18/2016,Syrian Arab Republic,,	
male,46,4/2/2016,Syrian Arab Republic,,	
female,26,3/16/2016,Syrian Arab Republic,Primary education (4-7 school years),	
male,28,3/16/2016,"Palestine, State of",,
other,25,3/31/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,33,3/16/2016,Syrian Arab Republic,,	
female,23,3/17/2016,Syrian Arab Republic,,	
male,30,3/27/2016,Syrian Arab Republic,,	
male,35,3/16/2016,Syrian Arab Republic,,	
male,22,3/19/2016,Afghanistan,,	
male,28,3/17/2016,Syrian Arab Republic,,	
male,33,4/18/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,29,3/16/2016,Afghanistan,,	
male,32,3/16/2016,Afghanistan,,	
male,32,3/29/2016,Kenya,Upper secondary education (11-13 school years),	
male,24,3/16/2016,Syrian Arab Republic,,	
female,24,3/16/2016,Syrian Arab Republic,,	
female,27,3/18/2016,Syrian Arab Republic,,	
male,27,3/16/2016,Afghanistan,,	
male,41,3/16/2016,Syrian Arab Republic,,	
female,32,3/31/2016,Syrian Arab Republic,,	
male,33,3/16/2016,Iran (Islamic Republic of),Upper secondary education (11-13 school years),TRUE	
male,32,3/19/2016,Syrian Arab Republic,,	
male,26,3/23/2016,Syrian Arab Republic,,	
male,25,3/19/2016,Somalia,Upper secondary education (11-13 school years),TRUE	
male,42,4/5/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,42,3/19/2016,"Palestine, State of",,
female,28,4/11/2016,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,30,3/17/2016,Nigeria,Upper secondary education (11-13 school years),FALSE	
male,37,3/29/2016,Syrian Arab Republic,,	
female,31,4/13/2016,Jordan,Upper secondary education (11-13 school years),TRUE	
male,25,3/17/2016,Somalia,,	
male,33,3/16/2016,Cameroon,I did not go to school,TRUE	
male,29,3/16/2016,Bangladesh,,	
male,28,4/20/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,29,3/18/2016,Afghanistan,,	
male,27,3/18/2016,Syrian Arab Republic,,	
male,25,3/27/2016,Afghanistan,,	
male,28,3/16/2016,Syrian Arab Republic,,	
male,51,3/17/2016,Syrian Arab Republic,,	
male,41,3/21/2016,Yemen,Upper secondary education (11-13 school years),FALSE	
male,24,3/20/2016,Syrian Arab Republic,,	
male,36,3/16/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,40,3/20/2016,Syrian Arab Republic,,	
male,29,3/30/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,32,3/19/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,30,3/19/2016,"Palestine, State of",,
female,26,3/16/2016,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,27,3/17/2016,Iran (Islamic Republic of),,	
male,26,3/16/2016,Egypt,,	
male,30,3/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,30,3/16/2016,Uganda,,	
male,53,3/16/2016,Syrian Arab Republic,,	
female,22,3/16/2016,Pakistan,,TRUE	
male,29,3/23/2016,Afghanistan,,	
male,27,3/16/2016,Iraq,Upper secondary education (11-13 school years),TRUE	
female,28,3/16/2016,Syrian Arab Republic,,TRUE	
male,31,3/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,3/18/2016,Sri Lanka,,	
male,41,4/12/2016,Syrian Arab Republic,,	
male,29,4/20/2016,Syrian Arab Republic,,	
male,37,3/21/2016,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,26,3/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,3/17/2016,Syrian Arab Republic,,	
male,25,3/19/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,27,3/16/2016,Iran (Islamic Republic of),,	
male,41,3/24/2016,Syrian Arab Republic,,TRUE	
female,31,3/16/2016,Zimbabwe,,	
male,33,3/16/2016,Syrian Arab Republic,,	
male,30,3/16/2016,Senegal,,	
male,22,3/16/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,29,3/18/2016,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,29,3/21/2016,Syrian Arab Republic,,	
female,28,3/16/2016,Bangladesh,,	
male,31,3/23/2016,Bangladesh,,	
male,39,3/18/2016,Afghanistan,,	
female,31,4/21/2016,Afghanistan,,	
male,36,3/23/2016,Bangladesh,,	
male,36,3/23/2016,Bangladesh,,	
male,33,3/18/2016,Bangladesh,Upper secondary education (11-13 school years),TRUE	
male,23,4/12/2016,Afghanistan,,	
female,24,4/22/2016,Syrian Arab Republic,,	
female,22,3/17/2016,Eritrea,,	
male,26,3/18/2016,Afghanistan,,	
male,31,3/17/2016,Afghanistan,,	
female,30,3/18/2016,Syrian Arab Republic,,	
male,27,3/23/2016,Afghanistan,,	
male,30,3/26/2016,Syrian Arab Republic,,	
male,31,3/18/2016,Afghanistan,Lower secondary education (7-11 school years),	
male,23,4/26/2016,Syrian Arab Republic,,	
male,23,3/26/2016,Syrian Arab Republic,,	
female,36,3/16/2016,Uganda,Upper secondary education (11-13 school years),FALSE	
male,37,3/16/2016,Afghanistan,,	
male,49,3/21/2016,Iran (Islamic Republic of),,	
male,35,7/11/2016,Syrian Arab Republic,,	
male,27,7/2/2016,Kenya,,	
male,27,7/2/2016,Syrian Arab Republic,,	
male,22,7/5/2016,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,34,7/5/2016,Morocco,,	
female,29,11/15/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,56,7/4/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,37,7/3/2016,Sudan,,	
male,34,8/19/2016,Afghanistan,,	
male,38,7/2/2016,Ghana,Upper secondary education (11-13 school years),	
male,45,7/3/2016,Cameroon,Lower secondary education (7-11 school years),FALSE	
male,50,7/5/2016,Somalia,,	
male,21,8/2/2016,Costa Rica,,	
male,38,8/5/2016,Pakistan,,	
male,33,7/14/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,26,7/7/2016,Gambia,Upper secondary education (11-13 school years),TRUE	
male,40,7/4/2016,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,24,7/2/2016,Somalia,,	
male,31,7/2/2016,Afghanistan,,	
male,36,7/3/2016,Sierra Leone,Upper secondary education (11-13 school years),TRUE	
male,26,7/10/2016,Iraq,,	
female,26,7/2/2016,Sierra Leone,,	
male,31,7/11/2016,Syrian Arab Republic,,	
male,31,7/27/2016,Bangladesh,,	
male,30,7/28/2016,Pakistan,,	
male,33,7/24/2016,Bangladesh,,	
female,35,7/6/2016,Syrian Arab Republic,,	
male,37,7/2/2016,Yemen,,	
male,34,7/7/2016,Syrian Arab Republic,,	
male,33,7/3/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
female,32,7/4/2016,Sri Lanka,,	
male,32,7/3/2016,Sri Lanka,,	
male,31,7/5/2016,Somalia,,	
male,27,7/3/2016,Afghanistan,Upper secondary education (11-13 school years),	
male,36,7/6/2016,Yemen,,	
male,25,7/4/2016,Somalia,Upper secondary education (11-13 school years),TRUE	
male,28,7/2/2016,Uganda,,	
male,49,7/2/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,35,7/3/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,18,7/2/2016,Yemen,,	
male,36,7/3/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,43,7/2/2016,"Palestine, State of",,
male,33,7/3/2016,Ghana,Lower secondary education (7-11 school years),	
male,29,7/5/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,37,7/9/2016,Iran (Islamic Republic of),,	
male,29,7/6/2016,Iraq,,	
male,30,7/2/2016,Iraq,Primary education (4-7 school years),	
male,30,7/3/2016,Sri Lanka,,	
male,26,7/2/2016,Georgia,Upper secondary education (11-13 school years),TRUE	
male,32,7/3/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,29,7/6/2016,Eritrea,,	
male,45,7/5/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,25,7/2/2016,Afghanistan,,	
male,46,7/9/2016,Syrian Arab Republic,,	
male,19,7/2/2016,Afghanistan,,	
male,29,7/2/2016,Uganda,,	
male,28,8/8/2016,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,32,7/3/2016,Nigeria,,	
male,45,7/2/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,30,7/2/2016,Afghanistan,Upper secondary education (11-13 school years),	
male,33,7/3/2016,Afghanistan,,	
male,42,8/13/2016,Côte d'Ivoire,,	
male,27,7/2/2016,Afghanistan,Upper secondary education (11-13 school years),	
male,33,7/4/2016,Syrian Arab Republic,,	
male,23,7/5/2016,Afghanistan,I did not go to school,TRUE	
male,21,7/2/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,7/2/2016,Afghanistan,,	
male,33,7/3/2016,Iraq,,	
male,32,7/2/2016,Iraq,,	
male,28,7/2/2016,Afghanistan,,	
male,34,7/4/2016,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,32,7/2/2016,Iraq,,	
male,37,7/4/2016,Pakistan,Upper secondary education (11-13 school years),	
male,31,7/2/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,7/2/2016,Syrian Arab Republic,,	
male,33,7/4/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,48,7/2/2016,Kenya,,	
male,38,7/7/2016,Sudan,Upper secondary education (11-13 school years),	
male,26,7/8/2016,Syrian Arab Republic,,	
male,25,7/3/2016,Eritrea,Upper secondary education (11-13 school years),FALSE	
male,26,7/17/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,30,7/2/2016,Afghanistan,,	
male,26,8/8/2016,Syrian Arab Republic,,	
male,37,7/7/2016,Bangladesh,,	
male,31,7/3/2016,Afghanistan,,	
male,24,7/8/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,33,7/12/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,26,7/5/2016,Iraq,Lower secondary education (7-11 school years),FALSE	
male,43,9/4/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,32,7/4/2016,Afghanistan,,	
male,33,8/17/2016,Egypt,Upper secondary education (11-13 school years),	
male,28,7/2/2016,Afghanistan,,	
male,26,7/5/2016,Syrian Arab Republic,,	
female,25,7/2/2016,Iraq,,	
male,39,7/2/2016,Iran (Islamic Republic of),Upper secondary education (11-13 school years),TRUE	
male,27,7/6/2016,Afghanistan,,	
male,32,7/10/2016,Eritrea,Upper secondary education (11-13 school years),	
male,29,7/4/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,24,8/2/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,7/7/2016,Syrian Arab Republic,,	
male,23,7/5/2016,Myanmar,,	
female,25,7/3/2016,Myanmar,,	
male,35,7/3/2016,Iran (Islamic Republic of),Upper secondary education (11-13 school years),FALSE	
male,58,7/2/2016,Iraq,,	
female,34,7/3/2016,Iraq,,	
male,27,7/8/2016,Syrian Arab Republic,,	
male,27,7/2/2016,Myanmar,,	
male,32,7/3/2016,Afghanistan,,	
male,25,7/5/2016,Syrian Arab Republic,,	
male,43,7/3/2016,Syrian Arab Republic,,	
male,23,7/2/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,8/23/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,7/2/2016,Germany,Upper secondary education (11-13 school years),TRUE	
male,22,7/21/2016,Nigeria,,	
male,41,7/28/2016,Pakistan,,	
male,31,8/4/2016,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,32,7/4/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
female,39,7/2/2016,Iran (Islamic Republic of),,	
male,27,11/7/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,26,7/4/2016,Afghanistan,,	
male,32,7/2/2016,Syrian Arab Republic,,	
male,26,7/9/2016,Syrian Arab Republic,,	
male,27,7/4/2016,Iraq,,	
male,46,7/4/2016,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,21,7/6/2016,Somalia,,	
male,24,7/2/2016,Syrian Arab Republic,,	
male,41,7/3/2016,Eritrea,,	
male,31,7/2/2016,Afghanistan,,	
male,30,7/3/2016,Iraq,,	
male,24,7/4/2016,Somalia,,	
male,39,7/10/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,24,7/3/2016,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,26,7/13/2016,Afghanistan,,	
male,24,7/2/2016,Iraq,Upper secondary education (11-13 school years),	
male,29,8/8/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,31,7/2/2016,Afghanistan,,	
male,22,7/2/2016,Syrian Arab Republic,,	
male,28,7/11/2016,Afghanistan,Upper secondary education (11-13 school years),	
