index,gender,age,student_since,nationality,school_education,attended_university
105,male,49,2015-10-18,Afghanistan,Upper secondary education (11-13 school years),UKNOWN
83,male,27,2015-10-18,Nigeria,,UKNOWN
112,male,45,2015-10-18,Pakistan,,UKNOWN
115,male,34,2015-10-18,Syria,,UKNOWN
55,male,36,2015-10-18,Libya,,UKNOWN
92,female,22,2015-10-19,Iraq,,UKNOWN
94,male,26,2015-10-19,Syria,,UKNOWN
116,male,27,2015-10-19,Syria,Upper secondary education (11-13 school years),TRUE
77,female,24,2015-10-19,Azerbaijan,,UKNOWN
48,male,30,2015-10-19,Somalia,Lower secondary education (7-11 school years),UKNOWN
49,male,33,2015-10-19,Afghanistan,Upper secondary education (11-13 school years),FALSE
67,male,31,2015-10-19,Pakistan,,UKNOWN
96,male,26,2015-10-19,Syria,,TRUE
97,male,30,2015-10-19,Syria,,UKNOWN
59,male,31,2015-10-19,Nigeria,,UKNOWN
74,male,39,2015-10-20,Syria,,UKNOWN
17,male,43,2015-10-20,Syria,,UKNOWN
98,male,24,2015-10-20,Syria,Upper secondary education (11-13 school years),UKNOWN
104,male,36,2015-10-20,Syria,Upper secondary education (11-13 school years),FALSE
93,male,31,2015-10-21,Afghanistan,,UKNOWN
110,male,29,2015-10-21,Afghanistan,Upper secondary education (11-13 school years),TRUE
113,male,30,2015-10-21,Syria,,UKNOWN
58,male,26,2015-10-21,Pakistan,,UKNOWN
34,male,26,2015-10-21,Syria,,TRUE
102,female,24,2015-10-22,Eritrea,Upper secondary education (11-13 school years),FALSE
4,male,34,2015-10-22,Kenya,,UKNOWN
91,male,28,2015-10-22,Guinea,,UKNOWN
65,male,27,2015-10-23,Syria,,UKNOWN
41,female,22,2015-10-23,Palestine,,
111,male,31,2015-10-23,Syria,Upper secondary education (11-13 school years),UKNOWN
42,male,33,2015-10-24,Ethiopia,,UKNOWN
85,male,28,2015-10-25,Afghanistan,Upper secondary education (11-13 school years),FALSE
45,male,24,2015-10-27,Pakistan,,UKNOWN
88,male,32,2015-10-27,Ethiopia,Upper secondary education (11-13 school years),TRUE
60,male,26,2015-10-27,Somalia,,UKNOWN
51,male,26,2015-10-28,Egypt,,TRUE
99,male,33,2015-10-28,Syria,Upper secondary education (11-13 school years),UKNOWN
57,male,22,2015-10-30,Eritrea,Lower secondary education (7-11 school years),UKNOWN
47,male,37,2015-11-01,Syria,,UKNOWN
103,male,49,2015-11-06,Syria,,UKNOWN
10,male,21,2015-11-06,Syria,Upper secondary education (11-13 school years),TRUE
81,male,29,2015-11-07,Syria,Upper secondary education (11-13 school years),TRUE
26,female,32,2015-11-07,Syria,,UKNOWN
52,male,28,2015-11-10,Syria,,UKNOWN
44,male,35,2015-11-11,Pakistan,Upper secondary education (11-13 school years),TRUE
21,male,23,2015-11-12,Gambia,,UKNOWN
1,male,43,2015-11-12,Nigeria,,UKNOWN
61,male,36,2015-11-19,Ethiopia,,UKNOWN
128,male,30,2015-11-21,Sudan,Upper secondary education (11-13 school years),TRUE
117,female,28,2015-11-21,United Arab Emirates,,UKNOWN
147,male,28,2015-11-21,Bangladesh,Upper secondary education (11-13 school years),UKNOWN
139,male,32,2015-11-21,Somalia,,UKNOWN
126,male,22,2015-11-22,Syria,,UKNOWN
125,male,39,2015-11-22,Dem. Rep. Congo,Upper secondary education (11-13 school years),UKNOWN
129,male,34,2015-11-22,Egypt,,UKNOWN
145,male,56,2015-11-22,Ethiopia,Upper secondary education (11-13 school years),TRUE
138,male,34,2015-11-22,Syria,Upper secondary education (11-13 school years),UKNOWN
149,male,31,2015-11-23,Yemen,Upper secondary education (11-13 school years),TRUE
123,male,33,2015-11-23,Dem. Rep. Congo,,UKNOWN
150,female,32,2015-11-24,Syria,,UKNOWN
148,male,41,2015-11-24,Germany,,UKNOWN
130,female,39,2015-11-24,Uganda,Upper secondary education (11-13 school years),TRUE
144,male,34,2015-11-25,Somalia,,UKNOWN
137,male,32,2015-11-25,Iraq,,UKNOWN
118,male,26,2015-11-26,Syria,,UKNOWN
133,male,34,2015-11-26,Syria,,UKNOWN
132,male,30,2015-11-27,Somalia,,UKNOWN
135,female,34,2015-11-29,Syria,,TRUE
140,male,31,2015-11-30,Germany,,UKNOWN
119,male,24,2015-11-30,Syria,,UKNOWN
151,male,22,2015-12-03,Syria,Upper secondary education (11-13 school years),TRUE
141,male,36,2015-12-07,Syria,Upper secondary education (11-13 school years),TRUE
143,male,29,2015-12-15,Ethiopia,,UKNOWN
131,male,25,2015-12-28,Netherlands,,UKNOWN
3,male,26,2016-01-13,Iran,Upper secondary education (11-13 school years),UKNOWN
54,male,30,2016-01-15,Somalia,,UKNOWN
146,male,29,2016-01-31,Somalia,Upper secondary education (11-13 school years),TRUE
153,male,31,2016-02-01,Syria,,UKNOWN
56,male,26,2016-02-04,Afghanistan,Upper secondary education (11-13 school years),TRUE
203,male,33,2016-03-16,Syria,,UKNOWN
250,male,86,2016-03-16,Ghana,,TRUE
195,male,35,2016-03-16,Syria,,TRUE
204,male,33,2016-03-16,Pakistan,,UKNOWN
192,male,35,2016-03-16,Pakistan,Upper secondary education (11-13 school years),TRUE
206,male,36,2016-03-16,Iran,,UKNOWN
187,male,36,2016-03-16,Pakistan,,UKNOWN
208,male,29,2016-03-16,Somalia,,UKNOWN
210,male,31,2016-03-16,Eritrea,Upper secondary education (11-13 school years),UKNOWN
212,male,24,2016-03-16,Afghanistan,,UKNOWN
185,male,25,2016-03-16,Pakistan,,UKNOWN
213,male,29,2016-03-16,Nigeria,,UKNOWN
219,male,34,2016-03-16,Afghanistan,,UKNOWN
220,female,33,2016-03-16,Egypt,Upper secondary education (11-13 school years),TRUE
221,male,37,2016-03-16,Nigeria,,UKNOWN
222,male,37,2016-03-16,Bangladesh,,UKNOWN
224,male,40,2016-03-16,China,,UKNOWN
201,male,36,2016-03-16,Haiti,,UKNOWN
231,male,31,2016-03-16,Ukraine,,UKNOWN
234,male,29,2016-03-16,Syria,Upper secondary education (11-13 school years),TRUE
241,female,23,2016-03-16,Iraq,Upper secondary education (11-13 school years),FALSE
243,male,23,2016-03-16,Syria,,UKNOWN
246,male,34,2016-03-16,Afghanistan,Upper secondary education (11-13 school years),FALSE
256,male,30,2016-03-16,Afghanistan,,UKNOWN
226,male,22,2016-03-16,Eritrea,,UKNOWN
286,male,33,2016-03-16,Iran,Upper secondary education (11-13 school years),TRUE
258,male,23,2016-03-16,Palestine,,
356,female,36,2016-03-16,Uganda,Upper secondary education (11-13 school years),FALSE
338,female,28,2016-03-16,Bangladesh,,UKNOWN
335,male,22,2016-03-16,Afghanistan,Upper secondary education (11-13 school years),FALSE
334,male,30,2016-03-16,Senegal,,UKNOWN
333,male,33,2016-03-16,Syria,,UKNOWN
332,female,31,2016-03-16,Zimbabwe,,UKNOWN
330,male,27,2016-03-16,Iran,,UKNOWN
321,female,28,2016-03-16,Syria,,TRUE
320,male,27,2016-03-16,Iraq,Upper secondary education (11-13 school years),TRUE
318,female,22,2016-03-16,Pakistan,,TRUE
317,male,53,2016-03-16,Syria,,UKNOWN
316,male,30,2016-03-16,Uganda,,UKNOWN
314,male,26,2016-03-16,Egypt,,UKNOWN
312,female,26,2016-03-16,Nigeria,Upper secondary education (11-13 school years),TRUE
307,male,36,2016-03-16,Syria,Upper secondary education (11-13 school years),UKNOWN
303,male,28,2016-03-16,Syria,,UKNOWN
298,male,29,2016-03-16,Bangladesh,,UKNOWN
260,male,25,2016-03-16,Afghanistan,,UKNOWN
262,male,30,2016-03-16,Colombia,Upper secondary education (11-13 school years),TRUE
267,female,26,2016-03-16,Syria,Primary education (4-7 school years),UKNOWN
268,male,28,2016-03-16,Palestine,,
270,male,33,2016-03-16,Syria,,UKNOWN
273,male,35,2016-03-16,Syria,,UKNOWN
257,male,31,2016-03-16,Egypt,,UKNOWN
277,male,29,2016-03-16,Afghanistan,,UKNOWN
280,male,24,2016-03-16,Syria,,UKNOWN
281,female,24,2016-03-16,Syria,,UKNOWN
283,male,27,2016-03-16,Afghanistan,,UKNOWN
284,male,41,2016-03-16,Syria,,UKNOWN
183,male,31,2016-03-16,Afghanistan,,UKNOWN
297,male,33,2016-03-16,Cameroon,I did not go to school,TRUE
278,male,32,2016-03-16,Afghanistan,,UKNOWN
182,male,24,2016-03-16,Pakistan,,UKNOWN
357,male,37,2016-03-16,Afghanistan,,UKNOWN
168,male,38,2016-03-16,Somalia,,UKNOWN
180,male,35,2016-03-16,Nigeria,Upper secondary education (11-13 school years),FALSE
30,male,35,2016-03-16,Sudan,,TRUE
177,male,30,2016-03-16,Syria,Upper secondary education (11-13 school years),UKNOWN
172,male,28,2016-03-16,Syria,,UKNOWN
173,male,37,2016-03-16,Gambia,,UKNOWN
349,male,31,2016-03-17,Afghanistan,,UKNOWN
211,male,25,2016-03-17,Afghanistan,,UKNOWN
322,male,31,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE
315,male,30,2016-03-17,Syria,Upper secondary education (11-13 school years),UKNOWN
313,male,27,2016-03-17,Iran,,UKNOWN
304,male,51,2016-03-17,Syria,,UKNOWN
223,female,22,2016-03-17,Syria,Upper secondary education (11-13 school years),UKNOWN
227,male,22,2016-03-17,Afghanistan,,UKNOWN
229,male,31,2016-03-17,Nigeria,,UKNOWN
296,male,25,2016-03-17,Somalia,,UKNOWN
232,male,37,2016-03-17,Egypt,,UKNOWN
293,male,30,2016-03-17,Nigeria,Upper secondary education (11-13 school years),FALSE
275,male,28,2016-03-17,Syria,,UKNOWN
271,female,23,2016-03-17,Syria,,UKNOWN
124,male,29,2016-03-17,Syria,,UKNOWN
248,female,41,2016-03-17,Eritrea,,UKNOWN
249,male,25,2016-03-17,Yemen,,UKNOWN
251,male,29,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE
252,female,26,2016-03-17,Rwanda,Upper secondary education (11-13 school years),FALSE
327,male,26,2016-03-17,Syria,Upper secondary education (11-13 school years),TRUE
328,male,28,2016-03-17,Syria,,UKNOWN
142,male,47,2016-03-17,Bangladesh,Upper secondary education (11-13 school years),TRUE
202,male,39,2016-03-17,Afghanistan,,UKNOWN
186,male,30,2016-03-17,Nepal,,UKNOWN
188,male,33,2016-03-17,Syria,,UKNOWN
347,female,22,2016-03-17,Eritrea,,UKNOWN
196,male,24,2016-03-17,Syria,,UKNOWN
170,male,31,2016-03-18,Somalia,,UKNOWN
179,male,42,2016-03-18,Afghanistan,,UKNOWN
353,male,31,2016-03-18,Afghanistan,Lower secondary education (7-11 school years),UKNOWN
265,male,30,2016-03-18,Syria,,UKNOWN
350,female,30,2016-03-18,Syria,,UKNOWN
190,male,41,2016-03-18,Nigeria,Upper secondary education (11-13 school years),TRUE
282,female,27,2016-03-18,Syria,,UKNOWN
238,male,26,2016-03-18,Dem. Rep. Congo,,TRUE
344,male,33,2016-03-18,Bangladesh,Upper secondary education (11-13 school years),TRUE
300,male,29,2016-03-18,Afghanistan,,UKNOWN
225,male,24,2016-03-18,Germany,,UKNOWN
348,male,26,2016-03-18,Afghanistan,,UKNOWN
197,male,32,2016-03-18,Côte d'Ivoire,,UKNOWN
323,male,22,2016-03-18,Sri Lanka,,UKNOWN
336,male,29,2016-03-18,Afghanistan,Upper secondary education (11-13 school years),TRUE
340,male,39,2016-03-18,Afghanistan,,UKNOWN
301,male,27,2016-03-18,Syria,,UKNOWN
274,male,22,2016-03-19,Afghanistan,,UKNOWN
311,male,30,2016-03-19,Palestine,,
239,female,26,2016-03-19,Syria,,UKNOWN
237,male,33,2016-03-19,Ghana,,UKNOWN
287,male,32,2016-03-19,Syria,,UKNOWN
240,female,31,2016-03-19,Syria,Upper secondary education (11-13 school years),UKNOWN
291,male,42,2016-03-19,Palestine,,
289,male,25,2016-03-19,Somalia,Upper secondary education (11-13 school years),TRUE
193,male,39,2016-03-19,Syria,Upper secondary education (11-13 school years),UKNOWN
310,male,32,2016-03-19,Syria,Upper secondary education (11-13 school years),UKNOWN
329,male,25,2016-03-19,Afghanistan,Upper secondary education (11-13 school years),FALSE
254,male,32,2016-03-20,Syria,Upper secondary education (11-13 school years),TRUE
191,female,22,2016-03-20,Syria,Upper secondary education (11-13 school years),UKNOWN
230,male,34,2016-03-20,Syria,,UKNOWN
306,male,24,2016-03-20,Syria,,UKNOWN
308,male,40,2016-03-20,Syria,,UKNOWN
263,male,31,2016-03-20,Syria,,UKNOWN
261,male,30,2016-03-20,Nigeria,,UKNOWN
205,male,30,2016-03-20,Syria,,UKNOWN
228,male,44,2016-03-20,Pakistan,,UKNOWN
337,male,29,2016-03-21,Syria,,UKNOWN
305,male,41,2016-03-21,Yemen,Upper secondary education (11-13 school years),FALSE
326,male,37,2016-03-21,Nigeria,Upper secondary education (11-13 school years),TRUE
358,male,49,2016-03-21,Iran,,UKNOWN
259,male,38,2016-03-21,Ethiopia,,UKNOWN
181,male,43,2016-03-21,Syria,,UKNOWN
155,male,26,2016-03-21,Afghanistan,,UKNOWN
233,male,31,2016-03-21,Palestine,,
159,female,26,2016-03-21,Syria,,UKNOWN
163,male,29,2016-03-21,Pakistan,,UKNOWN
161,male,22,2016-03-21,Somalia,,UKNOWN
235,male,23,2016-03-21,Afghanistan,,UKNOWN
189,male,28,2016-03-21,Syria,Upper secondary education (11-13 school years),TRUE
198,male,36,2016-03-22,Syria,Upper secondary education (11-13 school years),UKNOWN
162,male,30,2016-03-22,Gambia,Upper secondary education (11-13 school years),FALSE
194,male,25,2016-03-22,Somalia,,UKNOWN
200,male,33,2016-03-22,Afghanistan,Upper secondary education (11-13 school years),FALSE
160,male,34,2016-03-22,Syria,Upper secondary education (11-13 school years),TRUE
154,male,33,2016-03-22,Liberia,,UKNOWN
264,male,33,2016-03-22,Syria,Upper secondary education (11-13 school years),UKNOWN
319,male,29,2016-03-23,Afghanistan,,UKNOWN
171,female,33,2016-03-23,Dem. Rep. Congo,Upper secondary education (11-13 school years),TRUE
288,male,26,2016-03-23,Syria,,UKNOWN
339,male,31,2016-03-23,Bangladesh,,UKNOWN
158,female,26,2016-03-23,Afghanistan,I did not go to school,FALSE
342,male,36,2016-03-23,Bangladesh,,UKNOWN
343,male,36,2016-03-23,Bangladesh,,UKNOWN
174,male,36,2016-03-23,Kenya,Upper secondary education (11-13 school years),TRUE
351,male,27,2016-03-23,Afghanistan,,UKNOWN
199,male,33,2016-03-23,Syria,,UKNOWN
331,male,41,2016-03-24,Syria,,TRUE
178,male,30,2016-03-24,Syria,,UKNOWN
175,male,31,2016-03-24,Burundi,Upper secondary education (11-13 school years),TRUE
244,female,22,2016-03-25,Syria,Upper secondary education (11-13 school years),UKNOWN
207,male,34,2016-03-25,Afghanistan,Upper secondary education (11-13 school years),TRUE
167,male,39,2016-03-25,Syria,Upper secondary education (11-13 school years),TRUE
157,male,27,2016-03-25,Syria,,UKNOWN
176,male,30,2016-03-25,Syria,,UKNOWN
352,male,30,2016-03-26,Syria,,UKNOWN
355,male,23,2016-03-26,Syria,,UKNOWN
255,male,40,2016-03-26,Syria,Upper secondary education (11-13 school years),TRUE
156,male,30,2016-03-27,Syria,,UKNOWN
272,male,30,2016-03-27,Syria,,UKNOWN
302,male,25,2016-03-27,Afghanistan,,UKNOWN
165,male,27,2016-03-28,Syria,,UKNOWN
253,male,32,2016-03-28,Ethiopia,,UKNOWN
279,male,32,2016-03-29,Kenya,Upper secondary education (11-13 school years),UKNOWN
294,male,37,2016-03-29,Syria,,UKNOWN
309,male,29,2016-03-30,Syria,Upper secondary education (11-13 school years),UKNOWN
69,male,26,2016-03-30,Syria,,UKNOWN
269,other,25,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE
215,male,37,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE
5,male,29,2016-03-31,Syria,,UKNOWN
285,female,32,2016-03-31,Syria,,UKNOWN
242,male,41,2016-03-31,Syria,Upper secondary education (11-13 school years),TRUE
166,male,30,2016-04-01,Germany,,UKNOWN
266,male,46,2016-04-02,Syria,,UKNOWN
75,male,26,2016-04-02,Iraq,,TRUE
86,female,34,2016-04-03,Syria,,UKNOWN
218,male,26,2016-04-03,Lebanon,,UKNOWN
164,male,22,2016-04-04,Palestine,,
106,male,29,2016-04-05,Sudan,,UKNOWN
290,male,42,2016-04-05,Syria,Upper secondary education (11-13 school years),TRUE
216,female,26,2016-04-06,Syria,,UKNOWN
169,female,40,2016-04-08,Pakistan,,UKNOWN
236,male,23,2016-04-08,Syria,,UKNOWN
292,female,28,2016-04-11,Pakistan,Upper secondary education (11-13 school years),TRUE
345,male,23,2016-04-12,Afghanistan,,UKNOWN
136,male,56,2016-04-12,Venezuela,Upper secondary education (11-13 school years),TRUE
120,male,28,2016-04-12,Sudan,,UKNOWN
324,male,41,2016-04-12,Syria,,UKNOWN
295,female,31,2016-04-13,Jordan,Upper secondary education (11-13 school years),TRUE
107,male,29,2016-04-14,Germany,,UKNOWN
89,male,41,2016-04-16,Syria,Upper secondary education (11-13 school years),UKNOWN
214,male,34,2016-04-17,Zimbabwe,,UKNOWN
217,male,28,2016-04-18,Syria,Upper secondary education (11-13 school years),UKNOWN
276,male,33,2016-04-18,Afghanistan,Upper secondary education (11-13 school years),FALSE
325,male,29,2016-04-20,Syria,,UKNOWN
184,male,36,2016-04-20,Syria,,UKNOWN
299,male,28,2016-04-20,Syria,Upper secondary education (11-13 school years),TRUE
247,male,32,2016-04-20,Somalia,,UKNOWN
341,female,31,2016-04-21,Afghanistan,,UKNOWN
11,male,27,2016-04-22,Syria,,UKNOWN
15,male,32,2016-04-22,Syria,,UKNOWN
346,female,24,2016-04-22,Syria,,UKNOWN
354,male,23,2016-04-26,Syria,,UKNOWN
245,female,30,2016-04-30,Syria,,UKNOWN
209,male,32,2016-05-06,Albania,,UKNOWN
90,male,27,2016-06-29,Egypt,Upper secondary education (11-13 school years),FALSE
405,male,30,2016-07-02,Iraq,Primary education (4-7 school years),UKNOWN
462,male,58,2016-07-02,Iraq,,UKNOWN
411,male,25,2016-07-02,Afghanistan,,UKNOWN
554,male,25,2016-07-02,Syria,,UKNOWN
407,male,26,2016-07-02,Georgia,Upper secondary education (11-13 school years),TRUE
427,male,32,2016-07-02,Iraq,,UKNOWN
398,male,18,2016-07-02,Yemen,,UKNOWN
400,male,43,2016-07-02,Palestine,,
552,male,31,2016-07-02,Syria,Upper secondary education (11-13 school years),FALSE
396,male,49,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
395,male,28,2016-07-02,Uganda,,UKNOWN
469,male,23,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
551,male,25,2016-07-02,Syria,Primary education (4-7 school years),UKNOWN
471,male,28,2016-07-02,Germany,Upper secondary education (11-13 school years),TRUE
476,female,39,2016-07-02,Iran,,UKNOWN
479,male,32,2016-07-02,Syria,,UKNOWN
386,male,37,2016-07-02,Yemen,,UKNOWN
606,male,39,2016-07-02,Sudan,,UKNOWN
465,male,27,2016-07-02,Myanmar,,UKNOWN
562,male,28,2016-07-02,Syria,,UKNOWN
417,male,45,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
414,male,29,2016-07-02,Uganda,,UKNOWN
425,male,27,2016-07-02,Afghanistan,,UKNOWN
424,male,21,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
430,male,32,2016-07-02,Iraq,,UKNOWN
572,male,29,2016-07-02,Syria,,UKNOWN
432,male,31,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
582,male,24,2016-07-02,Syria,,UKNOWN
450,male,28,2016-07-02,Afghanistan,,UKNOWN
607,male,29,2016-07-02,Syria,,UKNOWN
413,male,19,2016-07-02,Afghanistan,,UKNOWN
433,male,28,2016-07-02,Syria,,UKNOWN
435,male,48,2016-07-02,Kenya,,UKNOWN
452,female,25,2016-07-02,Iraq,,UKNOWN
453,male,39,2016-07-02,Iran,Upper secondary education (11-13 school years),TRUE
418,male,30,2016-07-02,Afghanistan,Upper secondary education (11-13 school years),UKNOWN
428,male,28,2016-07-02,Afghanistan,,UKNOWN
566,male,37,2016-07-02,Syria,,UKNOWN
585,male,29,2016-07-02,Nigeria,Upper secondary education (11-13 school years),UKNOWN
575,male,31,2016-07-02,Ethiopia,,UKNOWN
421,male,27,2016-07-02,Afghanistan,Upper secondary education (11-13 school years),UKNOWN
543,male,29,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
494,male,31,2016-07-02,Afghanistan,,UKNOWN
542,male,33,2016-07-02,Syria,,UKNOWN
624,male,27,2016-07-02,Afghanistan,,UKNOWN
609,female,25,2016-07-02,Syria,,UKNOWN
360,male,27,2016-07-02,Kenya,,UKNOWN
499,male,22,2016-07-02,Syria,,UKNOWN
661,female,33,2016-07-02,Syria,,UKNOWN
519,male,47,2016-07-02,Syria,,UKNOWN
576,female,47,2016-07-02,Syria,,UKNOWN
656,male,32,2016-07-02,Syria,Upper secondary education (11-13 school years),UKNOWN
630,male,28,2016-07-02,Afghanistan,,UKNOWN
503,male,31,2016-07-02,Syria,,UKNOWN
632,male,23,2016-07-02,Syria,,UKNOWN
530,female,22,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
529,female,27,2016-07-02,W. Sahara,,UKNOWN
80,male,26,2016-07-02,Palestine,,
636,male,29,2016-07-02,Syria,,UKNOWN
646,male,43,2016-07-02,Bangladesh,,UKNOWN
528,male,24,2016-07-02,Palestine,,
495,male,22,2016-07-02,Syria,,UKNOWN
537,male,33,2016-07-02,Syria,,UKNOWN
361,male,27,2016-07-02,Syria,,UKNOWN
440,male,30,2016-07-02,Afghanistan,,UKNOWN
492,male,24,2016-07-02,Iraq,Upper secondary education (11-13 school years),UKNOWN
376,male,24,2016-07-02,Somalia,,UKNOWN
614,male,25,2016-07-02,Syria,Upper secondary education (11-13 school years),TRUE
616,male,29,2016-07-02,Bangladesh,Upper secondary education (11-13 school years),TRUE
486,male,31,2016-07-02,Afghanistan,,UKNOWN
377,male,31,2016-07-02,Afghanistan,,UKNOWN
619,male,25,2016-07-02,Syria,,UKNOWN
484,male,24,2016-07-02,Syria,,UKNOWN
612,male,22,2016-07-02,Somalia,Upper secondary education (11-13 school years),TRUE
380,female,26,2016-07-02,Sierra Leone,,UKNOWN
368,male,38,2016-07-02,Ghana,Upper secondary education (11-13 school years),UKNOWN
510,male,39,2016-07-03,Togo,,UKNOWN
571,male,27,2016-07-03,Syria,Upper secondary education (11-13 school years),TRUE
544,male,28,2016-07-03,Syria,Upper secondary education (11-13 school years),UKNOWN
573,female,38,2016-07-03,Germany,,UKNOWN
443,male,31,2016-07-03,Afghanistan,,UKNOWN
526,male,29,2016-07-03,Syria,Upper secondary education (11-13 school years),TRUE
509,female,36,2016-07-03,Yemen,Upper secondary education (11-13 school years),UKNOWN
547,male,26,2016-07-03,Syria,,UKNOWN
463,female,34,2016-07-03,Iraq,,UKNOWN
485,male,41,2016-07-03,Eritrea,,UKNOWN
501,female,26,2016-07-03,Syria,,UKNOWN
520,male,51,2016-07-03,Germany,,UKNOWN
515,male,26,2016-07-03,Chad,,UKNOWN
487,male,30,2016-07-03,Iraq,,UKNOWN
468,male,43,2016-07-03,Syria,,UKNOWN
533,male,23,2016-07-03,Syria,Upper secondary education (11-13 school years),UKNOWN
490,male,24,2016-07-03,Afghanistan,Upper secondary education (11-13 school years),FALSE
556,male,34,2016-07-03,Bangladesh,,UKNOWN
460,female,25,2016-07-03,Myanmar,,UKNOWN
461,male,35,2016-07-03,Iran,Upper secondary education (11-13 school years),FALSE
535,female,37,2016-07-03,Iraq,,UKNOWN
466,male,32,2016-07-03,Afghanistan,,UKNOWN
549,male,22,2016-07-03,Syria,Upper secondary education (11-13 school years),UKNOWN
500,male,28,2016-07-03,Germany,Upper secondary education (11-13 school years),TRUE
605,male,25,2016-07-03,Syria,,UKNOWN
438,male,25,2016-07-03,Eritrea,Upper secondary education (11-13 school years),FALSE
401,male,33,2016-07-03,Ghana,Lower secondary education (7-11 school years),UKNOWN
399,male,36,2016-07-03,Afghanistan,Upper secondary education (11-13 school years),FALSE
397,male,35,2016-07-03,Syria,Upper secondary education (11-13 school years),UKNOWN
392,male,27,2016-07-03,Afghanistan,Upper secondary education (11-13 school years),UKNOWN
390,male,32,2016-07-03,Sri Lanka,,UKNOWN
388,male,33,2016-07-03,Syria,Upper secondary education (11-13 school years),UKNOWN
577,male,24,2016-07-03,Pakistan,,UKNOWN
378,male,36,2016-07-03,Sierra Leone,Upper secondary education (11-13 school years),TRUE
592,male,27,2016-07-03,Bangladesh,,UKNOWN
618,male,44,2016-07-03,Syria,Upper secondary education (11-13 school years),TRUE
366,male,37,2016-07-03,Sudan,,UKNOWN
621,male,28,2016-07-03,Syria,,UKNOWN
625,male,21,2016-07-03,Syria,,TRUE
629,male,29,2016-07-03,Afghanistan,,UKNOWN
631,male,31,2016-07-03,Afghanistan,,UKNOWN
639,male,44,2016-07-03,Eritrea,Upper secondary education (11-13 school years),TRUE
648,male,30,2016-07-03,Syria,,UKNOWN
652,male,34,2016-07-03,Côte d'Ivoire,,UKNOWN
369,male,45,2016-07-03,Cameroon,Lower secondary education (7-11 school years),FALSE
406,male,30,2016-07-03,Sri Lanka,,UKNOWN
662,male,25,2016-07-03,Pakistan,,UKNOWN
