Case Number,PostalCode,Number in Household,# of Adults,# of Children,Quantity,Amount,Cubic Volume Total (Ft),Primary Segment,Appointment Date,Date/Time Opened,DAY,MONTH,YEAR
00001466,M9B6B5,2,1,1,7,$520.00 ,40.25,Formerly Homeless,,13/02/2015 1:52 PM,13,2,2015
00001483,M6M1T1,2,1,1,6,$540.00 ,34.50,Refugees,,18/02/2015 10:36 AM,18,2,2015
00001466,M9B6B5,2,1,1,2,$40.00 ,11.50,Formerly Homeless,,13/02/2015 1:52 PM,13,2,2015
00002079,M4H1J5,4,2,2,18,"$1,245.00 ",103.50,Immigrants,,29/04/2015 9:34 AM,29,4,2015
00002176,M2N0H1,2,1,1,7,$480.00 ,40.25,Women and/or Children,,11/05/2015 2:59 PM,11,5,2015
00002132,M6K2T7,,2,,15,"$1,170.00 ",86.25,Refugees,,05/05/2015 2:43 PM,5,5,2015
00002149,M9V2C6,3,1,2,3,$445.00 ,17.25,Women and/or Children,,07/05/2015 11:00 AM,7,5,2015
00002076,M4C1L5,4,1,3,23,"$1,370.00 ",132.25,Refugees,,28/04/2015 4:52 PM,28,4,2015
00002149,M9V2C6,3,1,2,3,$75.00 ,17.25,Women and/or Children,,07/05/2015 11:00 AM,7,5,2015
00002176,M2N0H1,2,1,1,1,$60.00 ,5.75,Women and/or Children,,11/05/2015 2:59 PM,11,5,2015
00002171,M6P3S5,,1,,22,"$1,335.00 ",126.50,Women and/or Children,,11/05/2015 10:46 AM,11,5,2015
00002101,M1E4X2,2,1,1,4,$450.00 ,23.00,Women and/or Children,,30/04/2015 2:19 PM,30,4,2015
00002143,M6S4W5,,1,,18,"$1,310.00 ",103.50,Women and/or Children,,06/05/2015 2:32 PM,6,5,2015
00002130,M4H1H9,,1,,5,$505.00 ,28.75,Immigrants,,05/05/2015 12:50 PM,5,5,2015
00001292,M1L4R4,,2,,27,"$1,320.00 ",155.25,Refugees,,23/01/2015 3:53 PM,23,1,2015
00001272,M6M1Z9,3,1,2,11,$485.00 ,63.25,Refugees,,22/01/2015 11:45 AM,22,1,2015
00001301,M4B1N5,,2,,14,$875.00 ,80.50,Immigrants,,26/01/2015 2:40 PM,26,1,2015
00001501,M1J1Y9,3,2,1,3,$60.00 ,17.25,Refugees,,20/02/2015 10:44 AM,20,2,2015
00001583,M6H4G1,2,1,1,9,$570.00 ,51.75,Formerly Homeless,,02/03/2015 2:02 PM,2,3,2015
00001509,M3C1E7,3,1,2,12,$620.00 ,69.00,Women and/or Children,,20/02/2015 1:58 PM,20,2,2015
00001522,M6N2S1,4,1,3,5,$305.00 ,28.75,Women and/or Children,,23/02/2015 3:20 PM,23,2,2015
00001505,M3M2B2,5,2,3,24,"$1,915.00 ",138.00,Refugees,,20/02/2015 1:24 PM,20,2,2015
00001522,M6N2S1,4,1,3,1,$20.00 ,5.75,Women and/or Children,,23/02/2015 3:20 PM,23,2,2015
00001540,M6L1J4,,1,,22,"$1,265.00 ",126.50,Immigrants & Newcomers,,25/02/2015 6:01 AM,25,2,2015
00002076,M4C1L5,4,1,3,6,$135.00 ,34.50,Refugees,,28/04/2015 4:52 PM,28,4,2015
00001340,M4J1A6,1,1,0,16,$915.00 ,92.00,Formerly Homeless,,30/01/2015 11:14 AM,30,1,2015
00001396,M9C1G8,4,1,3,15,$705.00 ,86.25,Formerly Homeless,,06/02/2015 2:26 PM,6,2,2015
00001970,M4B2B3,2,2,0,19,"$1,345.00 ",109.25,Other,,17/04/2015 11:55 AM,17,4,2015
00001970,M4B2B3,2,2,0,2,$40.00 ,11.50,Other,,17/04/2015 11:55 AM,17,4,2015
00001634,M6C2S5,1,1,0,12,$745.00 ,69.00,Formerly Homeless,,06/03/2015 2:29 PM,6,3,2015
00001612,M6M4Y2,,1,,13,$980.00 ,74.75,Formerly Homeless,,05/03/2015 10:05 AM,5,3,2015
00001519,M3N1R2,5,2,3,8,$655.00 ,46.00,Formerly Homeless,,23/02/2015 11:34 AM,23,2,2015
00001634,M6C2S5,1,1,0,1,$50.00 ,5.75,Formerly Homeless,,06/03/2015 2:29 PM,6,3,2015
00001519,M3N1R2,5,2,3,1,$60.00 ,5.75,Formerly Homeless,,23/02/2015 11:34 AM,23,2,2015
00001612,M6M4Y2,,1,,2,$40.00 ,11.50,Formerly Homeless,,05/03/2015 10:05 AM,5,3,2015
00001519,M3N1R2,5,2,3,2,$70.00 ,11.50,Formerly Homeless,,23/02/2015 11:34 AM,23,2,2015
00001646,M5A3Y9,,1,,5,$370.00 ,28.75,Formerly Homeless,,09/03/2015 12:16 PM,9,3,2015
00001572,M4M2P1,,1,,14,$880.00 ,80.50,Formerly Homeless,,27/02/2015 4:31 PM,27,2,2015
00001133,M9N1M5,2,1,1,9,$770.00 ,51.75,Formerly Homeless,,05/01/2015 4:32 PM,5,1,2015
00001174,M4E3P4,,1,,15,$805.00 ,86.25,Women and/or Children,,09/01/2015 12:29 PM,9,1,2015
00001189,M6K1S6,2,1,1,15,$930.00 ,86.25,Women and/or Children,,13/01/2015 12:14 PM,13,1,2015
00001542,M1K2J1,6,2,4,2,$220.00 ,11.50,Women and/or Children,,25/02/2015 1:52 PM,25,2,2015
00001613,M9V3Z8,,1,,21,"$1,365.00 ",120.75,Mental Illness,,05/03/2015 10:15 AM,5,3,2015
00001526,M1P2N1,2,1,1,29,"$1,890.00 ",166.75,Formerly Homeless,,24/02/2015 7:46 AM,24,2,2015
00001467,M9R3Y8,4,2,2,23,"$1,125.00 ",132.25,Formerly Homeless,,13/02/2015 2:03 PM,13,2,2015
00001532,M1J3E4,3,1,2,27,"$1,320.00 ",155.25,Formerly Homeless,,24/02/2015 12:46 PM,24,2,2015
00001548,M1J3E4,2,1,1,21,"$1,035.00 ",120.75,Formerly Homeless,,26/02/2015 9:50 AM,26,2,2015
00002229,M4X1K5,,1,,14,$790.00 ,80.50,Formerly Homeless,,15/05/2015 6:08 PM,15,5,2015
00002133,M9N2A3,5,2,3,18,"$1,290.00 ",103.50,Refugees,,05/05/2015 2:47 PM,5,5,2015
00002227,M4E1S2,,1,,5,$195.00 ,28.75,Formerly Homeless,,15/05/2015 5:48 PM,15,5,2015
00002243,M5B2A9,1,1,0,10,$675.00 ,57.50,Formerly Homeless,,20/05/2015 10:44 AM,20,5,2015
00001304,M3M2H3,,2,,25,"$1,600.00 ",143.75,Formerly Homeless,,26/01/2015 4:23 PM,26,1,2015
00001365,M6H4G1,,1,,3,$230.00 ,17.25,Formerly Homeless,,03/02/2015 9:38 AM,3,2,2015
00001253,M8V2Z3,3,2,1,14,$935.00 ,80.50,Women and/or Children,,20/01/2015 12:24 PM,20,1,2015
00001394,M4Y1V2,,1,,15,$705.00 ,86.25,Formerly Homeless,,06/02/2015 11:56 AM,6,2,2015
00001393,M6E2Z4,,1,,6,$450.00 ,34.50,Formerly Homeless,,06/02/2015 11:45 AM,6,2,2015
00001535,M4C3M1,,,,8,$265.00 ,46.00,Formerly Homeless,,24/02/2015 3:20 PM,24,2,2015
00001639,M4X1K4,,1,,11,$680.00 ,63.25,Formerly Homeless,,06/03/2015 4:17 PM,6,3,2015
00001646,M5A3Y9,,1,,4,$100.00 ,23.00,Formerly Homeless,,09/03/2015 12:16 PM,9,3,2015
00001652,M4Y1V2,,1,,13,$685.00 ,74.75,Formerly Homeless,,10/03/2015 10:07 AM,10,3,2015
00001535,M4C3M1,,,,2,$40.00 ,11.50,Formerly Homeless,,24/02/2015 3:20 PM,24,2,2015
00001541,M1E3E2,3,2,1,18,"$1,210.00 ",103.50,Formerly Homeless,,25/02/2015 9:34 AM,25,2,2015
00001631,M4J3P5,,1,,12,$770.00 ,69.00,Formerly Homeless,,06/03/2015 11:32 AM,6,3,2015
00001138,M9V1V3,,1,,11,$760.00 ,63.25,Women and/or Children,,06/01/2015 10:48 AM,6,1,2015
00001140,M1N1J4,1,1,0,10,$640.00 ,57.50,Refugees,,06/01/2015 11:08 AM,6,1,2015
00001216,M4V2H8,,1,,9,$500.00 ,51.75,Formerly Homeless,,15/01/2015 11:30 AM,15,1,2015
00001147,M9W4T3,,2,,23,"$1,355.00 ",132.25,Formerly Homeless,,06/01/2015 5:41 PM,6,1,2015
00001182,M6G3T4,,1,,10,$620.00 ,57.50,Immigrants & Newcomers,,11/01/2015 5:51 PM,11,1,2015
00001216,M4V2H8,,1,,1,$40.00 ,5.75,Formerly Homeless,,15/01/2015 11:30 AM,15,1,2015
00001544,M9V4C3,,1,,7,$600.00 ,40.25,Immigrants & Newcomers,,25/02/2015 2:33 PM,25,2,2015
00002194,M5T3C2,,1,,16,"$1,100.00 ",92.00,Formerly Homeless,,12/05/2015 5:04 PM,12,5,2015
00002172,M1E4C9,5,2,3,10,$730.00 ,57.50,Other,,11/05/2015 11:32 AM,11,5,2015
00002172,M1E4C9,5,2,3,4,$200.00 ,23.00,Other,,11/05/2015 11:32 AM,11,5,2015
00002194,M5T3C2,,1,,1,$20.00 ,5.75,Formerly Homeless,,12/05/2015 5:04 PM,12,5,2015
00002230,M4J3P1,,1,,13,$835.00 ,74.75,Formerly Homeless,,15/05/2015 6:15 PM,15,5,2015
00002226,M6K2Z9,,1,,9,$720.00 ,51.75,Formerly Homeless,,15/05/2015 5:05 PM,15,5,2015
00002241,M6H4G1,,1,,16,$965.00 ,92.00,Formerly Homeless,,19/05/2015 12:38 PM,19,5,2015
00002146,M4M1R3,,1,,16,"$1,030.00 ",92.00,Refugees,,06/05/2015 6:50 PM,6,5,2015
00002115,M6R2H6,5,3,2,23,"$1,470.00 ",132.25,Refugees,,04/05/2015 12:28 PM,4,5,2015
00002097,M4H1L7,5,2,3,17,"$1,280.00 ",97.75,Immigrants,,30/04/2015 12:47 PM,30,4,2015
00002190,M1M2E8,,1,,4,$150.00 ,23.00,Formerly Homeless,,12/05/2015 3:54 PM,12,5,2015
00002167,M9N3P8,,1,,10,$565.00 ,57.50,Formerly Homeless,,11/05/2015 9:55 AM,11,5,2015
00002097,M4H1L7,5,2,3,1,$20.00 ,5.75,Immigrants,,30/04/2015 12:47 PM,30,4,2015
00002228,M1E4T7,,1,,10,$715.00 ,57.50,Formerly Homeless,,15/05/2015 5:53 PM,15,5,2015
00001293,L3S4H4,,1,,19,"$1,175.00 ",109.25,Refugees,,23/01/2015 3:58 PM,23,1,2015
00001357,M3J1T4,,2,,13,$880.00 ,74.75,Refugees,,02/02/2015 4:08 PM,2,2,2015
00001293,L3S4H4,,1,,5,$80.00 ,28.75,Refugees,,23/01/2015 3:58 PM,23,1,2015
00001393,M6E2Z4,,1,,1,$15.00 ,5.75,Formerly Homeless,,06/02/2015 11:45 AM,6,2,2015
00001336,M5A3Z5,,2,,7,$640.00 ,40.25,Formerly Homeless,,29/01/2015 3:20 PM,29,1,2015
00001336,M5A3Z5,,2,,2,$40.00 ,11.50,Formerly Homeless,,29/01/2015 3:20 PM,29,1,2015
00001899,M9V3A3,,1,,17,$980.00 ,97.75,Refugees,,09/04/2015 6:56 PM,9,4,2015
00001895,M6K2Z4,,2,,6,$470.00 ,34.50,Formerly Homeless,,09/04/2015 3:21 PM,9,4,2015
00001895,M6K2Z4,,2,,1,$20.00 ,5.75,Formerly Homeless,,09/04/2015 3:21 PM,9,4,2015
00001907,M1H1A4,2,1,1,18,"$1,320.00 ",103.50,Refugees,,10/04/2015 2:52 PM,10,4,2015
00001867,M1M1P6,5,1,4,25,"$1,675.00 ",143.75,Women and/or Children,,07/04/2015 3:57 PM,7,4,2015
00001835,L5C1G2,2,1,1,19,"$1,155.00 ",109.25,Women and/or Children,,01/04/2015 6:56 PM,1,4,2015
00001471,M4Y1M3,2,1,1,12,$680.00 ,69.00,Refugees,,17/02/2015 10:34 AM,17,2,2015
00001639,M4X1K4,,1,,2,$40.00 ,11.50,Formerly Homeless,,06/03/2015 4:17 PM,6,3,2015
00001529,M3N2C3,2,1,1,8,$560.00 ,46.00,Formerly Homeless,,24/02/2015 10:28 AM,24,2,2015
00001577,M1L3L4,,1,,10,$470.00 ,57.50,Formerly Homeless,,27/02/2015 5:14 PM,27,2,2015
00001143,M6P1V7,1,1,0,17,"$1,090.00 ",97.75,Formerly Homeless,,06/01/2015 12:54 PM,6,1,2015
00001160,M6N1Y4,2,1,1,13,$950.00 ,74.75,Formerly Homeless,,07/01/2015 3:39 PM,7,1,2015
00001163,M3A1P9,,1,,11,$545.00 ,63.25,Mental Illness,,07/01/2015 7:46 PM,7,1,2015
00001553,M6P2S2,,1,,2,$160.00 ,11.50,Other,,26/02/2015 2:34 PM,26,2,2015
00001676,M1J2H8,,1,,20,"$1,360.00 ",115.00,Formerly Homeless,,12/03/2015 4:02 PM,12,3,2015
00001878,M6R2H3,,1,,10,$595.00 ,57.50,Formerly Homeless,,08/04/2015 12:04 PM,8,4,2015
00001908,M6K3E5,,1,,18,"$1,020.00 ",103.50,Formerly Homeless,,10/04/2015 2:58 PM,10,4,2015
00001307,M1K3G9,4,1,3,27,"$1,395.00 ",155.25,Women and/or Children,,27/01/2015 10:16 AM,27,1,2015
00001321,M5A3Y9,,1,,17,$975.00 ,97.75,Formerly Homeless,,28/01/2015 1:15 PM,28,1,2015
00001300,M4M1Y6,3,1,2,4,$310.00 ,23.00,Immigrants,,26/01/2015 2:37 PM,26,1,2015
00001927,M4L3B2,,1,,12,$730.00 ,69.00,Formerly Homeless,,13/04/2015 1:18 PM,13,4,2015
00001927,M4L3B2,,1,,4,$80.00 ,23.00,Formerly Homeless,,13/04/2015 1:18 PM,13,4,2015
00001910,M4X1M2,,1,,30,"$1,825.00 ",172.50,Immigrants & Newcomers,,10/04/2015 3:12 PM,10,4,2015
00001907,M1H1A4,2,1,1,2,$40.00 ,11.50,Refugees,,10/04/2015 2:52 PM,10,4,2015
00001860,M4C5L8,5,2,3,27,"$2,070.00 ",155.25,Refugees,,06/04/2015 4:15 PM,6,4,2015
00001909,M1R1P5,,2,,14,"$1,015.00 ",80.50,Formerly Homeless,,10/04/2015 3:05 PM,10,4,2015
00001844,M6M5A4,2,1,1,14,"$1,010.00 ",80.50,Formerly Homeless,,02/04/2015 2:24 PM,2,4,2015
00001909,M1R1P5,,2,,2,$40.00 ,11.50,Formerly Homeless,,10/04/2015 3:05 PM,10,4,2015
00001844,M6M5A4,2,1,1,8,$190.00 ,46.00,Formerly Homeless,,02/04/2015 2:24 PM,2,4,2015
00001351,M5A1W5,2,1,1,9,$705.00 ,51.75,Women and/or Children,,30/01/2015 5:13 PM,30,1,2015
00001387,M5R3K6,,1,,6,$410.00 ,34.50,Refugees,,05/02/2015 2:59 PM,5,2,2015
00001334,M6H3Y8,3,1,2,16,$820.00 ,92.00,Women and/or Children,,29/01/2015 1:59 PM,29,1,2015
00001308,M1P4N3,4,2,2,16,"$1,000.00 ",92.00,Refugees,,27/01/2015 10:26 AM,27,1,2015
00001514,M4B2G1,5,2,3,33,"$2,045.00 ",189.75,Refugees,,20/02/2015 5:46 PM,20,2,2015
00001533,M3A1P9,5,2,3,20,"$1,090.00 ",115.00,Refugees,,24/02/2015 1:40 PM,24,2,2015
00001556,M3N2H7,,2,,21,"$1,105.00 ",120.75,Refugees,,26/02/2015 3:36 PM,26,2,2015
00001581,M6N1Y3,2,1,1,21,"$1,120.00 ",120.75,Women and/or Children,,02/03/2015 11:29 AM,2,3,2015
00001530,M1R1T1,3,2,1,24,"$1,505.00 ",138.00,Refugees,,24/02/2015 10:37 AM,24,2,2015
00001918,M6K3G7,,1,,8,$515.00 ,46.00,Formerly Homeless,,10/04/2015 6:03 PM,10,4,2015
00001845,L6V3W2,,1,,10,$490.00 ,57.50,Formerly Homeless,,02/04/2015 2:48 PM,2,4,2015
00002191,M5C1M3,,1,,8,$540.00 ,46.00,Formerly Homeless,,12/05/2015 4:06 PM,12,5,2015
00002154,M1B3L9,4,2,2,17,"$1,025.00 ",97.75,Refugees,,08/05/2015 9:39 AM,8,5,2015
00002178,M6S4Z5,2,1,1,22,"$1,570.00 ",126.50,Women and/or Children,,11/05/2015 5:15 PM,11,5,2015
00002191,M5C1M3,,1,,1,$40.00 ,5.75,Formerly Homeless,,12/05/2015 4:06 PM,12,5,2015
00002154,M1B3L9,4,2,2,1,$80.00 ,5.75,Refugees,,08/05/2015 9:39 AM,8,5,2015
00002138,M1J2H8,3,2,1,10,"$1,050.00 ",57.50,Refugees,,06/05/2015 11:13 AM,6,5,2015
00002136,M3C1E6,4,2,2,15,"$1,020.00 ",86.25,Immigrants,,05/05/2015 4:54 PM,5,5,2015
00002152,M1J3E5,4,2,2,7,$475.00 ,40.25,Refugees,,07/05/2015 11:29 AM,7,5,2015
00002192,M5A0J8,5,2,3,4,$195.00 ,23.00,Other,,12/05/2015 4:08 PM,12,5,2015
00002148,M5A1W4,,1,,12,$940.00 ,69.00,Formerly Homeless,,07/05/2015 10:02 AM,7,5,2015
00002178,M6S4Z5,2,1,1,3,$60.00 ,17.25,Women and/or Children,,11/05/2015 5:15 PM,11,5,2015
00001296,L5C2E1,5,1,4,17,"$1,290.00 ",97.75,Formerly Homeless,,26/01/2015 9:32 AM,26,1,2015
00001252,M1V4X9,2,1,1,26,"$1,565.00 ",149.50,Women and/or Children,,20/01/2015 12:15 PM,20,1,2015
00001298,M1J2K9,2,2,0,13,$945.00 ,74.75,Refugees,,26/01/2015 10:48 AM,26,1,2015
00001296,L5C2E1,5,1,4,4,$20.00 ,23.00,Formerly Homeless,,26/01/2015 9:32 AM,26,1,2015
00001332,M4K2C4,3,1,2,22,"$1,235.00 ",126.50,Refugees,,29/01/2015 1:27 PM,29,1,2015
00001298,M1J2K9,2,2,0,1,$20.00 ,5.75,Refugees,,26/01/2015 10:48 AM,26,1,2015
00001375,M6B3X3,3,1,2,6,$610.00 ,34.50,Women and/or Children,,04/02/2015 9:57 AM,4,2,2015
00001323,M1S2V4,,1,,7,$435.00 ,40.25,Other,,28/01/2015 2:31 PM,28,1,2015
00001317,M6C3T8,,1,,8,$240.00 ,46.00,Formerly Homeless,,28/01/2015 10:03 AM,28,1,2015
00001832,M4C5L4,4,2,2,8,$245.00 ,46.00,Immigrants,,01/04/2015 3:42 PM,1,4,2015
00001860,M4C5L8,5,2,3,1,$60.00 ,5.75,Refugees,,06/04/2015 4:15 PM,6,4,2015
00001832,M4C5L4,4,2,2,1,$20.00 ,5.75,Immigrants,,01/04/2015 3:42 PM,1,4,2015
00001545,M4Y3B3,,1,,21,"$1,345.00 ",120.75,Women and/or Children,,25/02/2015 3:50 PM,25,2,2015
00001508,M3M2B2,5,2,3,25,"$1,740.00 ",143.75,Refugees,,20/02/2015 1:37 PM,20,2,2015
00001550,M4X1H6,,1,,7,$715.00 ,40.25,Women and/or Children,,26/02/2015 11:30 AM,26,2,2015
00001493,M4B2G1,6,1,5,27,"$1,895.00 ",155.25,Women and/or Children,,18/02/2015 5:15 PM,18,2,2015
00001545,M4Y3B3,,1,,1,$20.00 ,5.75,Women and/or Children,,25/02/2015 3:50 PM,25,2,2015
00001513,M1K3G9,4,1,3,23,"$1,495.00 ",132.25,Women and/or Children,,20/02/2015 3:52 PM,20,2,2015
00001387,M5R3K6,,1,,2,$40.00 ,11.50,Refugees,,05/02/2015 2:59 PM,5,2,2015
00001345,M1J2G8,3,2,1,34,"$2,040.00 ",195.50,Women and/or Children,,30/01/2015 2:58 PM,30,1,2015
00001344,L4B0C4,,2,,4,$360.00 ,23.00,Refugees,,30/01/2015 2:48 PM,30,1,2015
00001308,M1P4N3,4,2,2,1,$20.00 ,5.75,Refugees,,27/01/2015 10:26 AM,27,1,2015
00001331,M9N1Z4,6,2,4,16,"$1,130.00 ",92.00,Women and/or Children,,29/01/2015 1:01 PM,29,1,2015
00001344,L4B0C4,,2,,6,$200.00 ,34.50,Refugees,,30/01/2015 2:48 PM,30,1,2015
00001370,M1L4R4,2,2,0,18,"$1,210.00 ",103.50,Refugees,,03/02/2015 3:57 PM,3,2,2015
00001344,L4B0C4,,2,,4,$140.00 ,23.00,Refugees,,30/01/2015 2:48 PM,30,1,2015
00001392,M3N1A2,2,1,1,12,$545.00 ,69.00,Formerly Homeless,,06/02/2015 10:35 AM,6,2,2015
00001358,M9V1M8,2,1,1,3,$230.00 ,17.25,Refugees,,02/02/2015 4:11 PM,2,2,2015
00001358,M9V1M8,2,1,1,2,$40.00 ,11.50,Refugees,,02/02/2015 4:11 PM,2,2,2015
00001409,M3L2H9,2,2,0,10,$315.00 ,57.50,Immigrants & Newcomers,,09/02/2015 12:06 PM,9,2,2015
00001574,M1N3L6,,2,,26,"$1,740.00 ",149.50,Immigrants & Newcomers,,27/02/2015 4:57 PM,27,2,2015
00001558,M3N1A1,6,1,5,5,$150.00 ,28.75,Refugees,,26/02/2015 3:41 PM,26,2,2015
00001579,M1E2P8,,1,,6,$330.00 ,34.50,Women and/or Children,,02/03/2015 9:58 AM,2,3,2015
00001588,M4X1K9,,,,6,$370.00 ,34.50,Formerly Homeless,,02/03/2015 4:11 PM,2,3,2015
00001588,M4X1K9,,,,1,$20.00 ,5.75,Formerly Homeless,,02/03/2015 4:11 PM,2,3,2015
00002155,M1J2H8,2,1,1,24,"$1,525.00 ",138.00,Formerly Homeless,,08/05/2015 9:51 AM,8,5,2015
00002170,M4A1M1,2,1,1,5,$310.00 ,28.75,Formerly Homeless,,11/05/2015 10:25 AM,11,5,2015
00002257,M4H1J4,,1,,12,"$1,195.00 ",69.00,Women & Children,,21/05/2015 12:26 PM,21,5,2015
00002173,M3H1H6,3,1,2,7,$290.00 ,40.25,Women and/or Children,,11/05/2015 1:26 PM,11,5,2015
00002042,M6M2B4,4,2,2,27,"$1,495.00 ",155.25,Women and/or Children,,24/04/2015 1:22 PM,24,4,2015
00002205,M5J2Z3,,1,,5,$575.00 ,28.75,Formerly Homeless,,13/05/2015 3:24 PM,13,5,2015
00001323,M1S2V4,,1,,2,$40.00 ,11.50,Other,,28/01/2015 2:31 PM,28,1,2015
00001323,M1S2V4,,1,,1,$110.00 ,5.75,Other,,28/01/2015 2:31 PM,28,1,2015
